在“她说我喜欢自己”这句话中，自己指的是	f:0.3333333598242835	m:0.3333332604832158	w:0.33333337969250065
在“他说我喜欢自己”这句话中，自己指的是	f:0.3333332671059437	m:0.3333332671059437	w:0.3333334657881127
在“她说我厌恶自己”这句话中，自己指的是	f:0.3333333134651107	m:0.33333325386047485	w:0.33333343267441445
在“他说我厌恶自己”这句话中，自己指的是	f:0.3333332803514148	m:0.3333332406149936	w:0.3333334790335916
在“她说我帮助自己”这句话中，自己指的是	f:0.33333333333332976	m:0.3333332737286903	w:0.33333339293797987
在“他说我帮助自己”这句话中，自己指的是	f:0.3333332935968948	m:0.3333332538604721	w:0.33333345254263314
在“她说我相信自己”这句话中，自己指的是	f:0.33333341280619777	m:0.3333332935969011	w:0.3333332935969011
在“他说我相信自己”这句话中，自己指的是	f:0.3333333465788101	m:0.33333332671059496	w:0.33333332671059496
在“她说我支持自己”这句话中，自己指的是	f:0.3333333267105871	m:0.33333324723773844	w:0.33333342605167454
在“他说我支持自己”这句话中，自己指的是	f:0.33333326048318035	m:0.3333331810103474	w:0.3333335585064723
在“她说我欺骗自己”这句话中，自己指的是	f:0.33333331346510203	m:0.33333321412404815	w:0.3333334724108499
在“他说我欺骗自己”这句话中，自己指的是	f:0.3333332671059342	m:0.3333332273695146	w:0.3333335055245512
在“她说我安慰自己”这句话中，自己指的是	f:0.33333333995606923	m:0.33333328035142856	w:0.3333333796925022
在“他说我安慰自己”这句话中，自己指的是	f:0.33333332008785327	m:0.3333332803514274	w:0.33333339956071933
在“她说我挑战自己”这句话中，自己指的是	f:0.33333333995607156	m:0.3333333200878568	w:0.33333333995607156
在“他说我挑战自己”这句话中，自己指的是	f:0.33333332671059496	m:0.33333332671059496	w:0.3333333465788101
在“她说我鄙视自己”这句话中，自己指的是	f:0.33333330021962043	m:0.3333332008785705	w:0.33333349890180913
在“他说我鄙视自己”这句话中，自己指的是	f:0.3333332472377124	m:0.3333332075012952	w:0.3333335452609925
在“她说我忽略自己”这句话中，自己指的是	f:0.3333333796925022	m:0.33333328035142856	w:0.33333333995606923
在“他说我忽略自己”这句话中，自己指的是	f:0.3333333267105942	m:0.3333333068423802	w:0.3333333664470256
在“她说我原谅自己”这句话中，自己指的是	f:0.33333330684237433	m:0.33333326710594996	w:0.3333334260516757
在“他说我原谅自己”这句话中，自己指的是	f:0.3333332935968984	m:0.3333332737286864	w:0.3333334326744153
在“她说我怀疑自己”这句话中，自己指的是	f:0.333333379692503	m:0.33333330021964175	w:0.33333332008785527
在“他说我怀疑自己”这句话中，自己指的是	f:0.33333333995607156	m:0.3333333200878568	w:0.33333333995607156
在“她说我超越自己”这句话中，自己指的是	f:0.33333333333333176	m:0.3333332935969043	w:0.33333337306976396
在“他说我超越自己”这句话中，自己指的是	f:0.33333330021963775	m:0.33333328035142545	w:0.3333334194289368
在“她说我设计自己”这句话中，自己指的是	f:0.3333333333333329	m:0.33333331346511863	w:0.33333335320154844
在“他说我设计自己”这句话中，自己指的是	f:0.33333330021964175	m:0.33333332008785527	w:0.333333379692503
在“她说我讨厌自己”这句话中，自己指的是	f:0.3333333465788085	m:0.3333332869741667	w:0.3333333664470248
在“他说我讨厌自己”这句话中，自己指的是	f:0.33333330021964014	m:0.33333330021964014	w:0.3333333995607197
在“她说我介绍自己”这句话中，自己指的是	f:0.3333333333333329	m:0.33333331346511863	w:0.33333335320154844
在“他说我介绍自己”这句话中，自己指的是	f:0.3333333134651178	m:0.3333333134651178	w:0.33333337306976435
在“她说我夸奖自己”这句话中，自己指的是	f:0.33333332008785327	m:0.3333332803514274	w:0.33333339956071933
在“他说我夸奖自己”这句话中，自己指的是	f:0.3333332869741588	m:0.33333326710594724	w:0.333333445919894
在“她说我改造自己”这句话中，自己指的是	f:0.33333332671059496	m:0.33333332671059496	w:0.3333333465788101
在“他说我改造自己”这句话中，自己指的是	f:0.33333332671059496	m:0.33333332671059496	w:0.3333333465788101
在“她说我结束自己”这句话中，自己指的是	f:0.3333333598242867	m:0.3333333002196425	w:0.3333333399560708
在“他说我结束自己”这句话中，自己指的是	f:0.33333332008785643	m:0.33333332008785643	w:0.3333333598242871
在“她说我解放自己”这句话中，自己指的是	f:0.33333333995607156	m:0.3333333200878568	w:0.33333333995607156
在“他说我解放自己”这句话中，自己指的是	f:0.3333333333333329	m:0.33333331346511863	w:0.33333335320154844
在“她说我刺激自己”这句话中，自己指的是	f:0.3333333664470248	m:0.3333332869741667	w:0.3333333465788085
在“他说我刺激自己”这句话中，自己指的是	f:0.3333333267105942	m:0.3333333068423802	w:0.3333333664470256
在“她说我考虑自己”这句话中，自己指的是	f:0.3333333465788101	m:0.33333332671059496	w:0.33333332671059496
在“他说我考虑自己”这句话中，自己指的是	f:0.33333332671059496	m:0.33333332671059496	w:0.3333333465788101
在“她说我掐自己”这句话中，自己指的是	f:0.3333334922790239	m:0.333333035310176	w:0.33333347241080014
在“他说我掐自己”这句话中，自己指的是	f:0.3333333002195904	m:0.33333312140572186	w:0.3333335783746878
在“她说我评论自己”这句话中，自己指的是	f:0.3333333465788097	m:0.3333333068423806	w:0.3333333465788097
在“他说我评论自己”这句话中，自己指的是	f:0.33333330684237705	m:0.3333332869741643	w:0.3333334061834586
在“她说我爱惜自己”这句话中，自己指的是	f:0.33333333995607156	m:0.3333333200878568	w:0.33333333995607156
在“他说我爱惜自己”这句话中，自己指的是	f:0.33333332008785643	m:0.33333332008785643	w:0.3333333598242871
在“她说我爱护自己”这句话中，自己指的是	f:0.3333333267105942	m:0.3333333068423802	w:0.3333333664470256
在“他说我爱护自己”这句话中，自己指的是	f:0.33333331346511624	m:0.3333332935969031	w:0.3333333929379807
在“她说我爱自己”这句话中，自己指的是	f:0.3333333598242867	m:0.3333333002196425	w:0.3333333399560708
在“他说我爱自己”这句话中，自己指的是	f:0.33333332008785643	m:0.33333332008785643	w:0.3333333598242871
在“她说我保护自己”这句话中，自己指的是	f:0.3333333333333329	m:0.33333331346511863	w:0.33333335320154844
在“他说我保护自己”这句话中，自己指的是	f:0.33333330684237905	m:0.33333330684237905	w:0.3333333863152419
在“她说我改正自己”这句话中，自己指的是	f:0.3333333333333329	m:0.33333331346511863	w:0.33333335320154844
在“他说我改正自己”这句话中，自己指的是	f:0.33333332008785643	m:0.33333332008785643	w:0.3333333598242871
在“她说我谈论自己”这句话中，自己指的是	f:0.33333333995607156	m:0.3333333200878568	w:0.33333333995607156
在“他说我谈论自己”这句话中，自己指的是	f:0.3333333134651178	m:0.3333333134651178	w:0.33333337306976435
在“她说我维护自己”这句话中，自己指的是	f:0.33333333995607156	m:0.3333333200878568	w:0.33333333995607156
在“他说我维护自己”这句话中，自己指的是	f:0.3333333333333329	m:0.33333331346511863	w:0.33333335320154844
在“她说我牺牲自己”这句话中，自己指的是	f:0.3333333333333329	m:0.33333331346511863	w:0.33333335320154844
在“他说我牺牲自己”这句话中，自己指的是	f:0.33333332008785643	m:0.33333332008785643	w:0.3333333598242871
