在“她们觉得她是在卖弄自己。”这句话中，自己指的是	f:0.500000074505806	m:0.49999992549419403
在“我觉得他是想淹死自己。”这句话中，自己指的是	f:0.33333333333332976	m:0.3333332737286903	w:0.33333339293797987
在“我看她是故意显夸自己。”这句话中，自己指的是	f:0.3333333134651107	m:0.33333325386047485	w:0.33333343267441445
在“我知道他又开始在责备自己。”这句话中，自己指的是	f:0.33333333995607156	m:0.33333333995607156	w:0.3333333200878568
在“我也提醒了他注意自己。”这句话中，自己指的是	f:0.33333332671059496	m:0.3333333465788101	w:0.33333332671059496
在“我发现她的唯一缺陷是她有时有点控制不住自己。”这句话中，自己指的是	f:0.3333333465788101	m:0.33333332671059496	w:0.33333332671059496
在“她想这个美国人也许一直都躺在紫外线灯下晒黑自己。”这句话中，自己指的是	f:0.5000001043081284	m:0.4999998956918717
在“请你不要以为我只是考虑自己。”这句话中，自己指的是	f:0.33333332671059496	m:0.33333332671059496	w:0.3333333465788101
在“我告诉了她我刚才做了什么和我为什么克制住了自己。”这句话中，自己指的是	f:0.3333333068423708	m:0.3333332472377361	w:0.33333344591989317
在“他埋怨她只顾着自己。”这句话中，自己指的是	f:0.5000001937150955	m:0.4999998062849045
在“他认为她特意在考虑为他牺牲自己。”这句话中，自己指的是	f:0.5000000149011612	m:0.4999999850988388
在“她落在后面，奇怪他竟会只顾自己。”这句话中，自己指的是	f:0.5000003427267075	m:0.4999996572732926
在“我觉得他全靠香槟酒在支撑自己。”这句话中，自己指的是	f:0.3333328896090858	m:0.3333325915863919	w:0.3333345188045223
在“我们看到他坐在书桌前，准备结果自己。”这句话中，自己指的是	f:0.33333332671059496	m:0.3333333465788101	w:0.33333332671059496
在“太阳好像早早就升起来了，想看看桑乔怎样折腾自己。”这句话中，自己指的是	f:0.5000000298023224	m:0.4999999701976776
在“尽管我痛不欲生，但我不愿意她这样折磨自己。”这句话中，自己指的是	f:0.33333328697409487	m:0.33333308829203245	w:0.33333362473387274
在“她无法简捷地理解女人为何要如此装饰自己。”这句话中，自己指的是	f:0.5	m:0.5
在“我们知道她已经能够照顾自己了。”这句话中，自己指的是	f:0.33333337306976435	m:0.3333333134651178	w:0.3333333134651178
