在“她说这本书伤害了自己”这句话中，自己指的是	f:0.3333333664469822	m:0.33333310816026257	t:0.33333352539275524
在“他说这本书改变了自己”这句话中，自己指的是	f:0.33333332008785643	m:0.33333332008785643	t:0.3333333598242871
在“他说这本书影响了自己”这句话中，自己指的是	f:0.3333332406149841	m:0.3333332406149841	t:0.33333351877003176
在“他说这本书吸引了自己”这句话中，自己指的是	f:0.33333332671059496	m:0.33333332671059496	t:0.3333333465788101
在“她说这本书启发了自己”这句话中，自己指的是	f:0.3333334989018107	m:0.3333332207467797	t:0.33333328035140963
在“他说这本书激励了自己”这句话中，自己指的是	f:0.3333333399560708	m:0.3333333002196425	t:0.3333333598242867
在“她说这本书刺激了自己”这句话中，自己指的是	f:0.33333337306976396	m:0.3333332935969043	t:0.33333333333333176
在“他说这本书困扰了自己”这句话中，自己指的是	f:0.333333181010334	m:0.3333332207467481	t:0.3333335982429179
在“他说这本书鼓舞了自己”这句话中，自己指的是	f:0.33333335320154844	m:0.33333331346511863	t:0.3333333333333329
在“他说这本书鞭策了自己”这句话中，自己指的是	f:0.33333330684237905	m:0.33333330684237905	t:0.3333333863152419
在“他说这本书感动了自己”这句话中，自己指的是	f:0.33333335320154844	m:0.3333333333333329	t:0.33333331346511863
在“他说这本书迷惑了自己”这句话中，自己指的是	f:0.3333332538604721	m:0.3333332935968948	t:0.33333345254263314
在“她说这本书提醒了自己”这句话中，自己指的是	f:0.33333337306975014	m:0.33333319425584246	t:0.33333343267440735
在“他说这封信伤害了自己”这句话中，自己指的是	f:0.33333330684237433	m:0.33333326710594996	t:0.3333334260516757
在“她说这封信改变了自己”这句话中，自己指的是	f:0.3333335386382445	m:0.3333331412739381	t:0.33333332008781735
在“她说这封信影响了自己”这句话中，自己指的是	f:0.3333334260516441	m:0.33333310816026845	t:0.33333346578808737
在“她说这封信吸引了自己”这句话中，自己指的是	f:0.3333333664470256	m:0.3333333068423802	t:0.3333333267105942
在“她说这封信启发了自己”这句话中，自己指的是	f:0.3333335982429167	m:0.3333331611421276	t:0.3333332406149557
在“他说这封信激励了自己”这句话中，自己指的是	f:0.3333333465788097	m:0.3333333068423806	t:0.3333333465788097
在“他说这封信刺激了自己”这句话中，自己指的是	f:0.3333333333333329	m:0.33333331346511863	t:0.33333335320154844
在“她说这封信困扰了自己”这句话中，自己指的是	f:0.3333334922790322	m:0.333333055178382	t:0.3333334525425858
在“她说这封信鼓舞了自己”这句话中，自己指的是	f:0.3333334790335916	m:0.3333332406149936	t:0.33333328035141474
在“他说这封信鞭策了自己”这句话中，自己指的是	f:0.3333333333333329	m:0.33333331346511863	t:0.33333335320154844
在“她说这封信感动了自己”这句话中，自己指的是	f:0.3333335452609925	m:0.33333320750129514	t:0.33333324723771235
在“她说这封信刺激了自己”这句话中，自己指的是	f:0.3333333664470248	m:0.3333332869741667	t:0.3333333465788085
在“她说这封信迷惑了自己”这句话中，自己指的是	f:0.3333333002195809	m:0.3333331015375106	t:0.3333335982429084
在“她说这封信提醒了自己”这句话中，自己指的是	f:0.33333337969249827	m:0.33333324061500347	t:0.33333337969249827
在“她说这封信激励了自己”这句话中，自己指的是	f:0.3333334326744129	m:0.33333323399226367	t:0.3333333333333235
在“他说这个举动伤害了自己”这句话中，自己指的是	f:0.33333332008785527	m:0.33333330021964175	t:0.333333379692503
在“她说这个举动改变了自己”这句话中，自己指的是	f:0.3333334128061879	m:0.3333331942558433	t:0.3333333929379688
在“她说这个举动影响了自己”这句话中，自己指的是	f:0.3333333664469901	m:0.33333312802847254	t:0.3333335055245374
在“他说这个举动吸引了自己”这句话中，自己指的是	f:0.33333333995607156	m:0.3333333200878568	t:0.33333333995607156
在“她说这个举动启发了自己”这句话中，自己指的是	f:0.33333345254263314	m:0.3333332538604721	t:0.3333332935968948
在“他说这个举动激励了自己”这句话中，自己指的是	f:0.33333332671059496	m:0.33333332671059496	t:0.3333333465788101
在“他说这个举动刺激了自己”这句话中，自己指的是	f:0.33333332671059496	m:0.33333332671059496	t:0.3333333465788101
在“她说这个举动困扰了自己”这句话中，自己指的是	f:0.3333334657880807	m:0.3333330882920609	t:0.3333334459198585
在“她说这个举动鼓舞了自己”这句话中，自己指的是	f:0.3333334260516757	m:0.33333326710594996	t:0.33333330684237433
在“他说这个举动鞭策了自己”这句话中，自己指的是	f:0.3333333333333329	m:0.33333331346511863	t:0.33333335320154844
