在“不管他是否原谅自己”这句话中，自己指的是	f:0.500000074505806	m:0.49999992549419403
在“赫尔曼问自己”这句话中，自己指的是	f:0.5	m:0.5
在“原始的欲又来了，一种百战不死的老兵；他唤醒自己”这句话中，自己指的是	f:0.5	m:0.5
在“他没有看见自己”这句话中，自己指的是	f:0.4999999850988388	m:0.5000000149011612
在“王德好象问自己”这句话中，自己指的是	f:0.5	m:0.5
在“他嘲笑自己”这句话中，自己指的是	f:0.5	m:0.5
在“不过这事全都怪自己”这句话中，自己指的是	f:0.5000000149011612	m:0.4999999850988388
在“他只爱自己。”这句话中，自己指的是	f:0.4999999850988388	m:0.5000000149011612
在“他问自己”这句话中，自己指的是	f:0.4999999552965164	m:0.5000000447034836
在“雅夏问自己”这句话中，自己指的是	f:0.5000000298023224	m:0.4999999701976776
在“斯捷潘·阿尔卡季奇想到自己”这句话中，自己指的是	f:0.5	m:0.5
在“倘使有这种男人，也是他在欺骗自己”这句话中，自己指的是	f:0.5	m:0.5
在“这要看自己”这句话中，自己指的是	f:0.5	m:0.5
在“他不爱自己”这句话中，自己指的是	f:0.5000000149011612	m:0.4999999850988388
在“他回答自己”这句话中，自己指的是	f:0.4999999701976776	m:0.5000000298023224
在“瑞宣认识自己”这句话中，自己指的是	f:0.5	m:0.5
在“他恨自己，他轻视他自己”这句话中，自己指的是	f:0.4999999403953552	m:0.5000000596046448
在“你不信问自己”这句话中，自己指的是	f:0.5	m:0.5
在“以同样的方式，拥有认自我的知识的人会认识他自己”这句话中，自己指的是	f:0.4999999850988388	m:0.5000000149011612
在“每个人只能代表自己”这句话中，自己指的是	f:0.5	m:0.5
在“林乃久问自己”这句话中，自己指的是	f:0.5000000298023224	m:0.4999999701976776
在“别这么心慌，雅夏尔，他劝自己”这句话中，自己指的是	f:0.5000000298023224	m:0.4999999701976776
在“是相信我胜过相信自己”这句话中，自己指的是	f:0.5000000149011612	m:0.4999999850988388
在“接下来，只等着大下巴的人介绍自己了”这句话中，自己指的是	f:0.5	m:0.5
在“王子在打扮自己了”这句话中，自己指的是	f:0.5	m:0.5
在“这时候他说到自己了”这句话中，自己指的是	f:0.4999999850988388	m:0.5000000149011612
在“既然家有信来，还是要好好替他打算一下，把利害说给他，取决当然在于自己了”这句话中，自己指的是	f:0.5000000447034836	m:0.4999999552965164
在“杰夫劝自己保管，或者早点回家，以免那些不怀好意的庄稼汉钻进来骗了去”这句话中，自己指的是	f:0.5	m:0.5
在“宰相您问自己去，听他回答您什么吧”这句话中，自己指的是	f:0.5000000596046448	m:0.4999999403953552
在“接下来的六个星期都属于自己可是女主人说：“噢，别急”这句话中，自己指的是	f:0.5000000149011612	m:0.4999999850988388
在“他的空虚令自己吃惊”这句话中，自己指的是	f:0.4999999850988388	m:0.5000000149011612
在““假如他说到自己呢？”这句话中，自己指的是	f:0.4999999850988388	m:0.5000000149011612
在““我打算让自己权衡一下利弊，一方面是偷窃的行为给他带来的一点点小利益，另一”这句话中，自己指的是	f:0.4999999701976776	m:0.5000000298023224
在“王琦瑶让自己泡茶，问他这些日子做什么，打不打桥牌，有没有分配工作的消息”这句话中，自己指的是	f:0.5000000298023224	m:0.4999999701976776
在“使善的事物成为自己的”这句话中，自己指的是	f:0.5000000149011612	m:0.4999999850988388
在“有时候他会好气自己，用根棍于敲他自己的脚，或是拿他的头去撞石头什么的”这句话中，自己指的是	f:0.49999991059303284	m:0.5000000894069672
在““没有一分钟留给自己的，”魏德尔太太叹道，“如果你知道他扛在肩膀上的东西有多少…”这句话中，自己指的是	f:0.5000000149011612	m:0.4999999850988388
在“通过使美的东西成为自己的，他将得到什么呢”这句话中，自己指的是	f:0.4999999552965164	m:0.5000000447034836
在“不过，这三天假日是属于自己的，他要干自己想干的事”这句话中，自己指的是	f:0.49999991059303284	m:0.5000000894069672
在“让他捡，如果他拿自己的，而且心满意足，你就把另外两把全赠给他”这句话中，自己指的是	f:0.5	m:0.5
在“他应该写自己而不是克里斯塔尔……我辜负了他”这句话中，自己指的是	f:0.5000009536743164	m:0.4999990463256836
在“去年5月8日的下午，蒙蒂教授曾记载自己要在多尼咖啡店与罗伯特?莱布朗会面”这句话中，自己指的是	f:0.5	m:0.5
在“你让自己说，他会帮着我们说话；要是当面和他说破，他反而不敢帮我们——”这句话中，自己指的是	f:0.5000000298023224	m:0.4999999701976776
在“有时他会把玩自己送给我作礼物的蒙古墨水瓶”这句话中，自己指的是	f:0.5	m:0.5
在“这让自己都觉得不好意思了”这句话中，自己指的是	f:0.5000000447034836	m:0.4999999552965164
在“他恨自己”这句话中，自己指的是	f:0.49999991059303284	m:0.5000000894069672
在“他只想到自己”这句话中，自己指的是	f:0.49999983608722687	m:0.5000001639127731
在“他问自己，“怎么”这句话中，自己指的是	f:0.49999985098838806	m:0.5000001490116119
在““由于贫困，”陀思妥耶夫斯基说自己，“我被迫为金钱而匆忙写作，所以接二连三地失败。”这句话中，自己指的是	f:0.499999538064003	m:0.500000461935997
在“他问自己，“说到头来，这是我的，我的…”这句话中，自己指的是	f:0.49999988079071045	m:0.5000001192092896
在“有保留在他印象中的完全，对于美人迟自不免兴一种感伤，但他若想想他自己，也到了一礼拜不修脸就不成样子的人，他就觉得未来生活渺茫，把”这句话中，自己指的是	f:0.4999999701976776	m:0.5000000298023224
在“他恨自己，什么本事也没有，连点力气都没有，到底是干什么的呢”这句话中，自己指的是	f:0.49999992549419403	m:0.500000074505806
在“振保突然提醒自己，他正在挖空心思想出各种的理由，证明他为什么应当同这女人睡觉”这句话中，自己指的是	f:0.4999997913837433	m:0.5000002086162567
在“同时，他更相信自己，他的才识，他的胆气，他的体力以至容貌，毕竟胜于常人，好”这句话中，自己指的是	f:0.4999999552965164	m:0.5000000447034836
在““他到处炫示自己，他的时髦衣服，他的四轮敞篷马车，通过这些，去教导人们懂得什”这句话中，自己指的是	f:0.4999999701976776	m:0.5000000298023224
在“陪审员们以及仅仅从民谣和历史小说里吸收历史知识的一般人，他想起自己，他自己也不是从布道词和法律里，而是从寓言、小说、诗歌里汲取”这句话中，自己指的是	f:0.4999999850988388	m:0.5000000149011612
在“他问自己，但是他没法回答”这句话中，自己指的是	f:0.499999538064003	m:0.500000461935997
在“这也怪自己，因为他拖拖拉拉，没有给安娜上紧宗教信仰这根弦”这句话中，自己指的是	f:0.5	m:0.5
在“这要怨自己，小狮子不平地说，我们的满腹苦水对谁诉?办理结婚登记手”这句话中，自己指的是	f:0.5000000447034836	m:0.4999999552965164
在“我父亲不爱谈自己，我们也不问”这句话中，自己指的是	f:0.5	m:0.5
在“听到大师兄这么贬低自己，楚玄玄自然大感不满”这句话中，自己指的是	f:0.5	m:0.5
在“他问自己，脑子里一片混乱”这句话中，自己指的是	f:0.49999915063381195	m:0.500000849366188
在“阿希礼用语言来禁闭自己，这禁闭比任何监狱都牢固”这句话中，自己指的是	f:0.4999999850988388	m:0.5000000149011612
在“克雷默尔立刻述说自己，述说关于他自己的一切”这句话中，自己指的是	f:0.5	m:0.5
在“但是，一个作者只能写自己，难道不是真的吗”这句话中，自己指的是	f:0.5	m:0.5
在“他说自己：“我这人我问他一天能卖多少钱”这句话中，自己指的是	f:0.49999938905239105	m:0.500000610947609
在“太对不起他的母亲，也太对不起他的夫人了，可是他尤其对不起自己；他所失去的这位妻子，她的美貌足以使人间粉黛一齐失色”这句话中，自己指的是	f:0.4999999701976776	m:0.5000000298023224
