如果他知道我经常批评自己,那么道我经常批评	f:0.3137856798916068	m:0.32938381462720623	w:0.35683050548118705
如果她知道我经常批评自己,那么道我经常批评	f:0.32846659093410735	m:0.31322397987865636	w:0.3583094291872363
如果他认为她知道我把自己的书送给了自己的朋友,那么为她知道我把自己的书送给了自己的	f:0.33567105872665426	m:0.3307565527742756	w:0.33357238849907017
如果她认为他知道我把自己的书送给了自己的朋友,那么为他知道我把自己的书送给了自己的	f:0.3339174992849908	m:0.3325743615808266	w:0.33350813913418254
如果他担心我会批评自己,那么心我会批评	f:0.3298758860710893	m:0.3329297909072474	w:0.3371943230216633
如果她担心我会批评自己,那么心我会批评	f:0.3329379148253591	m:0.32910107591257365	w:0.3379610092620672
如果他知道我害了自己,那么道我害了	f:0.32490180363076926	m:0.33794756709494284	w:0.3371506292742879
如果她知道我害了自己,那么道我害了	f:0.3495686880745096	m:0.31867716312745126	w:0.3317541487980391
如果他觉得我对自己没信心,那么得我对自己没	f:0.33208226653255174	m:0.33390458000465123	w:0.334013153462797
如果她觉得我对自己没信心,那么得我对自己没	f:0.33348369963592567	m:0.332445959946794	w:0.3340703404172804
如果他认为我的骄傲害了自己,那么为我的骄傲害了	f:0.312473175488364	m:0.3229078479919941	w:0.3646189765196419
如果她认为我的骄傲害了自己,那么为我的骄傲害了	f:0.3373580997549704	m:0.30400853446033044	w:0.3586333657846992
如果她知道我告诉过她有关自己的工作,那么道我告诉过她有关自己的	f:0.334376280676953	m:0.33221185958742677	w:0.3334118597356202
如果他知道我告诉过他有关自己的工作,那么道我告诉过他有关自己的	f:0.332201651227947	m:0.33349442832986936	w:0.3343039204421836
如果他说我跟他谈过自己的事,那么我跟他谈过自己	f:0.33243905269252905	m:0.3335640223541368	w:0.3339969249533341
如果她说我跟她谈过自己的事,那么我跟她谈过自己	f:0.3334520027181542	m:0.33255669063079113	w:0.33399130665105464
如果她认为我从她那里听说了自己的分数,那么为我从她那里听说了自己的	f:0.33297285207593125	m:0.3325686232054291	w:0.3344585247186396
如果他认为我从他那里听说了自己的分数,那么为我从他那里听说了自己的	f:0.3325907346698081	m:0.3329842883120727	w:0.3344249770181192
如果他知道我在他家洗自己的照片,那么道我在他家洗自己的	f:0.33161635069116013	m:0.33298625011314775	w:0.33539739919569217
如果她知道我在她家洗自己的照片,那么道我在她家洗自己的	f:0.3331734567594819	m:0.33200727064940144	w:0.33481927259111666
如果当时他怕我再去找自己的麻烦就给了我钱,那么他怕我再去找自己的麻烦就给了	f:0.3192395609737777	m:0.34039332444946846	w:0.34036711457675384
如果当时她怕我再去找自己的麻烦就给了我钱,那么她怕我再去找自己的麻烦就给了	f:0.3498049349335539	m:0.3143290548349274	w:0.33586601023151863
如果她知道我的报告害了自己,那么道我的报告害了	f:0.33305394988484716	m:0.31170914244415915	w:0.3552369076709938
如果他知道我的报告害了自己,那么道我的报告害了	f:0.31761106647509074	m:0.3256223328440009	w:0.35676660068090843
如果他的话暗示我的信害了自己,那么话暗示我的信害了	f:0.3283187486769322	m:0.33427685007686847	w:0.33740440124619925
如果她的话暗示我的信害了自己,那么话暗示我的信害了	f:0.33757937212887285	m:0.32652160227695626	w:0.3358990255941709
如果她认为我恨自己,那么为我恨	f:0.32846935584265285	m:0.30318429356524396	w:0.3683463505921032
如果他认为我恨自己,那么为我恨	f:0.3143908110505277	m:0.33129072179719854	w:0.3543184671522738
如果他说我喜欢自己,那么我喜欢	f:0.27584934029420594	m:0.4352598003328689	w:0.2888908593729252
如果她说我喜欢自己,那么我喜欢	f:0.3950580348339702	m:0.29677952759622783	w:0.308162437569802
如果她告诉别人我觉得自己明年可以考进好大学,那么诉别人我觉得自己明年可以考进好	f:0.3339234412710937	m:0.3327508106987549	w:0.33332574803015147
如果他告诉别人我觉得自己明年可以考进好大学,那么诉别人我觉得自己明年可以考进好	f:0.33304950753968304	m:0.3334343213046741	w:0.3335161711556428
如果他说我批评了自己,那么我批评了	f:0.33030696200132265	m:0.3377500707034663	w:0.331942967295211
如果她说我批评了自己,那么我批评了	f:0.3370500161359007	m:0.3302365343034537	w:0.33271344956064564
如果她觉得我在批评自己,那么得我在批评	f:0.36916251342051554	m:0.3126105777949544	w:0.31822690878453014
如果他觉得我在批评自己,那么得我在批评	f:0.31195782637512137	m:0.3702453091519573	w:0.31779686447292127
如果她认为我知道自己的太太是一个好人,那么为我知道自己的太太是一个	f:0.3322965666752363	m:0.33215400034650366	w:0.33554943297825995
如果他认为我知道自己的太太是一个好人,那么为我知道自己的太太是一个	f:0.33233854471441604	m:0.3325104406856977	w:0.33515101459988633
如果他觉得我不喜欢自己,那么得我不喜欢	f:0.3214151168991424	m:0.34286846320945913	w:0.3357164198913985
如果她觉得我不喜欢自己,那么得我不喜欢	f:0.34109374668695214	m:0.32160831520457667	w:0.33729793810847114
