如果她说他诬陷自己,那么他诬陷	f:0.5155563230916037	m:0.4844436769083964
如果她说他拥抱自己,那么他拥抱	f:0.5062828738211204	m:0.49371712617887964
如果她说他离开自己,那么他离开	f:0.5026890448404998	m:0.4973109551595002
如果她说他打扰自己,那么他打扰	f:0.5128454096431919	m:0.4871545903568081
如果她说他超过自己,那么他超过	f:0.5656164890361547	m:0.4343835109638454
如果她说他忘了自己,那么他忘了	f:0.5028935189510022	m:0.49710648104899785
如果她说他回答自己,那么他回答	f:0.5027092483636513	m:0.4972907516363488
如果她说他表扬自己,那么他表扬	f:0.5364328106412131	m:0.463567189358787
如果她说他反对自己,那么他反对	f:0.5253516761263178	m:0.47464832387368217
如果她说他调查自己,那么他调查	f:0.4996877813651905	m:0.5003122186348096
如果她说他拜访自己,那么他拜访	f:0.5002314033752868	m:0.49976859662471323
如果她说他偷听自己,那么他偷听	f:0.5002718374330937	m:0.49972816256690633
如果她说他暗恋自己,那么他暗恋	f:0.5012056512557655	m:0.49879434874423445
如果她说他邀请自己,那么他邀请	f:0.565972685615132	m:0.4340273143848679
如果她说他等待自己,那么他等待	f:0.587407363704133	m:0.41259263629586684
如果她说他嫉妒自己,那么他嫉妒	f:0.5202980474016452	m:0.4797019525983549
如果她说他羡慕自己,那么他羡慕	f:0.505735592775257	m:0.494264407224743
如果她说他搭讪自己,那么他搭讪	f:0.5092388512774563	m:0.4907611487225438
如果她说他监视自己,那么他监视	f:0.5000113339629004	m:0.4999886660370995
如果她说他吵醒自己,那么他吵醒	f:0.5008957315898501	m:0.4991042684101499
如果她说他激怒自己,那么他激怒	f:0.5234284187908289	m:0.4765715812091711
如果她说他模仿自己,那么他模仿	f:0.5023809249295718	m:0.4976190750704282
如果她说他欺负自己,那么他欺负	f:0.5020598156731209	m:0.49794018432687914
如果她说他追随自己,那么他追随	f:0.5249713689315445	m:0.4750286310684555
如果她说他回避自己,那么他回避	f:0.530512277949524	m:0.4694877220504759
如果她说他思念自己,那么他思念	f:0.5100978010483207	m:0.48990219895167936
如果她说他仰慕自己,那么他仰慕	f:0.5004835665115291	m:0.49951643348847086
如果她说他冷落自己,那么他冷落	f:0.5429343548002284	m:0.45706564519977144
如果她说他靠近自己,那么他靠近	f:0.5227468641625882	m:0.47725313583741186
如果她说他辅导自己,那么他辅导	f:0.5003203213707972	m:0.49967967862920276
如果她说他干扰自己,那么他干扰	f:0.5076447616125251	m:0.4923552383874749
如果她说他加入自己,那么他加入	f:0.5039925016554652	m:0.4960074983445348
如果她说他接近自己,那么他接近	f:0.5501085401156752	m:0.44989145988432466
如果她说他看望自己,那么他看望	f:0.5563545945316704	m:0.44364540546832976
如果她说他捞自己,那么他捞	f:0.5099277981090208	m:0.4900722018909792
如果她说他欢迎自己,那么他欢迎	f:0.532547510427585	m:0.46745248957241503
如果她说他勾引自己,那么他勾引	f:0.5059820008563793	m:0.4940179991436206
如果她说他勾结自己,那么他勾结	f:0.5009840513912525	m:0.49901594860874754
如果她说他等自己,那么他等	f:0.5621941973802541	m:0.437805802619746
如果她说他等候自己,那么他等候	f:0.5373888248191543	m:0.4626111751808458
如果她说他挤自己,那么他挤	f:0.5572858417993266	m:0.44271415820067334
如果她说他排挤自己,那么他排挤	f:0.5383051291643988	m:0.4616948708356013
如果她说他欺压自己,那么他欺压	f:0.49676184226945513	m:0.5032381577305449
如果她说他探望自己,那么他探望	f:0.5088868560284425	m:0.4911131439715575
如果她说他信任自己,那么他信任	f:0.5031225338221255	m:0.49687746617787454
如果她说他响应自己,那么他响应	f:0.4884240008314398	m:0.5115759991685601
如果她说他学习自己,那么他学习	f:0.5001553386341628	m:0.4998446613658372
如果她说他咬自己,那么他咬	f:0.5300663567253205	m:0.46993364327467946
如果她说他消灭自己,那么他消灭	f:0.519850568575211	m:0.4801494314247891
如果她说他追赶自己,那么他追赶	f:0.5025182862398809	m:0.49748171376011896
如果她说他追求自己,那么他追求	f:0.5271886176056177	m:0.4728113823943822
如果她说他阻挡自己,那么他阻挡	f:0.5073639285766952	m:0.4926360714233048
如果她说他孝敬自己,那么他孝敬	f:0.5066064688377213	m:0.4933935311622787
如果她说他赢自己,那么他赢	f:0.5029315715583577	m:0.49706842844164245
如果她说他招呼自己,那么他招呼	f:0.5143854319509692	m:0.4856145680490307
如果她说他指导自己,那么他指导	f:0.5002408138639357	m:0.4997591861360644
如果她说他支援自己,那么他支援	f:0.5047835037470979	m:0.4952164962529021
如果她说他替换自己,那么他替换	f:0.5059572341171691	m:0.49404276588283097
如果她说他通知自己,那么他通知	f:0.5171278875964007	m:0.48287211240359923
如果她说他吸引自己,那么他吸引	f:0.523433942879827	m:0.47656605712017297
如果她说他影响自己,那么他影响	f:0.5004677449851207	m:0.4995322550148793
如果她说他杀害自己,那么他杀害	f:0.5047873437039577	m:0.49521265629604233
如果她说他赔偿自己,那么他赔偿	f:0.5643494301994917	m:0.43565056980050837
如果她说他衬托自己,那么他衬托	f:0.5037322715537136	m:0.4962677284462865
如果她说他扣留自己,那么他扣留	f:0.51346350583072	m:0.48653649416927996
如果她说他恐吓自己,那么他恐吓	f:0.5356785259464734	m:0.4643214740535267
如果她说他联络自己,那么他联络	f:0.5004729530527645	m:0.49952704694723554
如果她说他忍受自己,那么他忍受	f:0.5430013007825996	m:0.45699869921740044
如果她说他请示自己,那么他请示	f:0.5427402713352849	m:0.45725972866471504
如果她说他算计自己,那么他算计	f:0.5150562663780034	m:0.4849437336219966
