如果他给她的书是关于自己的， 那么书是关于	f:0.5031657645721455	m:0.49683423542785454
如果他写给她的信是关于自己的， 那么信是关于	f:0.5141035735438754	m:0.4858964264561246
如果他给她的结果是关于自己的， 那么结果是关于	f:0.5116556191783495	m:0.48834438082165055
如果他问她的问题是关于自己的， 那么问题是关于	f:0.5015758783180703	m:0.4984241216819297
如果他给她讲的话是关于自己的， 那么话是关于	f:0.5010261567221339	m:0.4989738432778661
如果他告诉她的成绩是关于自己的， 那么成绩是关于	f:0.5140541106687834	m:0.4859458893312166
如果他给她的经验是关于自己的， 那么经验是关于	f:0.5005503039680541	m:0.4994496960319458
如果他给她的照片是关于自己的， 那么照片是关于	f:0.5011284906114718	m:0.4988715093885281
如果他给她的计划是关于自己的， 那么计划是关于	f:0.5055932545494122	m:0.4944067454505879
如果他给她看的论文是关于自己的， 那么论文是关于	f:0.5000887119594849	m:0.49991128804051504
如果他放给她听的歌是关于自己的， 那么歌是关于	f:0.5003156342990233	m:0.49968436570097674
如果他提给她的意见是关于自己的， 那么意见是关于	f:0.5112707623152645	m:0.4887292376847356
如果他呈现给她的想法是关于自己的， 那么想法是关于	f:0.5054315918308856	m:0.4945684081691144
如果他告诉她的结果是关于自己的， 那么结果是关于	f:0.5058722766762442	m:0.4941277233237557
如果他告诉她的话是关于自己的， 那么话是关于	f:0.5007904902266542	m:0.49920950977334577
如果他告诉她的成绩是关于自己的， 那么成绩是关于	f:0.5140541106687834	m:0.4859458893312166
如果他告诉她的经验是关于自己的， 那么经验是关于	f:0.5002431584097604	m:0.4997568415902396
如果他给她展示的照片是关于自己的， 那么照片是关于	f:0.5046737336848657	m:0.4953262663151344
如果他告诉她的计划是关于自己的， 那么计划是关于	f:0.5025032637452855	m:0.4974967362547144
如果他告诉她的意见是关于自己的， 那么意见是关于	f:0.5043937550473431	m:0.49560624495265704
如果他告诉她的想法是关于自己的， 那么想法是关于	f:0.502067466474157	m:0.497932533525843
如果他通知她的结果是关于自己的， 那么结果是关于	f:0.506284715453421	m:0.493715284546579
如果他通知她的成绩是关于自己的， 那么成绩是关于	f:0.5094742637320377	m:0.4905257362679623
如果他分享给她的经验是关于自己的， 那么经验是关于	f:0.503093817367448	m:0.4969061826325521
如果他分享给她的照片是关于自己的， 那么照片是关于	f:0.5049469921871942	m:0.49505300781280587
如果他分享给她的计划是关于自己的， 那么计划是关于	f:0.5098670421837342	m:0.49013295781626576
如果他向她表达的意见是关于自己的， 那么意见是关于	f:0.5053879907828384	m:0.49461200921716164
如果他告知她的想法是关于自己的， 那么想法是关于	f:0.5042369605291934	m:0.49576303947080663
如果他提供给她的书是关于自己的， 那么书是关于	f:0.5006820193583902	m:0.49931798064160976
如果他提供给她的信是关于自己的， 那么信是关于	f:0.5087171407595168	m:0.4912828592404832
如果他提供给她的结果是关于自己的， 那么结果是关于	f:0.5132105671242762	m:0.48678943287572385
如果他提供给她的经验是关于自己的， 那么经验是关于	f:0.502866750135992	m:0.49713324986400803
如果他提供给她的照片是关于自己的， 那么照片是关于	f:0.5078784624728812	m:0.4921215375271188
如果他提供给她的计划是关于自己的， 那么计划是关于	f:0.5124078362077203	m:0.4875921637922796
如果他提供给她的意见是关于自己的， 那么意见是关于	f:0.5213705555358236	m:0.47862944446417643
如果他提供给她的想法是关于自己的， 那么想法是关于	f:0.5084515423165846	m:0.4915484576834153
如果他拒绝回答她的问题是关于自己的， 那么问题是关于	f:0.5083099317918742	m:0.4916900682081258
如果他提醒她的事情是涉及自己的， 那么事情是关于	f:0.5018198536673364	m:0.49818014633266355
如果他提醒她的想法是关于自己的， 那么想法是关于	f:0.5053126997631007	m:0.4946873002368993
如果他推荐她的书是关于自己的， 那么书是关于	f:0.5024867828311167	m:0.49751321716888336
