如果她说他反思自己,那么他反思	f:0.5027646759955623	m:0.4972353240044377
如果她说他反省自己,那么他反省	f:0.5015612273029696	m:0.49843877269703046
如果她说他坦白自己,那么他坦白	f:0.5067984183372494	m:0.4932015816627507
如果她说他提升自己,那么他提升	f:0.5105850495146822	m:0.48941495048531775
如果她说他炫耀自己,那么他炫耀	f:0.49975073223204697	m:0.5002492677679531
如果她说他调节自己,那么他调节	f:0.49942753745111085	m:0.5005724625488892
如果她说他坚持自己,那么他坚持	f:0.5062904466045999	m:0.4937095533954001
如果她说他交代自己,那么他交代	f:0.5010243255750283	m:0.49897567442497176
如果她说他计较自己,那么他计较	f:0.5181003166593907	m:0.48189968334060923
如果她说他检讨自己,那么他检讨	f:0.5013895492617407	m:0.4986104507382592
如果她说他卖弄自己,那么他卖弄	f:0.5050054208371263	m:0.49499457916287376
如果她说他表达自己,那么他表达	f:0.5027279320047815	m:0.49727206799521856
如果她说他表现自己,那么他表现	f:0.5074476327326694	m:0.4925523672673307
如果她说他扭伤自己,那么他扭伤	f:0.5010489171874217	m:0.4989510828125783
