如果他说她反思自己,那么她反思	f:0.5042962925159256	m:0.4957037074840744
如果他说她反省自己,那么她反省	f:0.502106093802058	m:0.49789390619794205
如果他说她坦白自己,那么她坦白	f:0.49587131874685114	m:0.5041286812531489
如果他说她提升自己,那么她提升	f:0.503140378426841	m:0.49685962157315905
如果他说她炫耀自己,那么她炫耀	f:0.4977943681756242	m:0.5022056318243758
如果他说她调节自己,那么她调节	f:0.4989882150971089	m:0.5010117849028911
如果他说她坚持自己,那么她坚持	f:0.508691163686667	m:0.491308836313333
如果他说她交代自己,那么她交代	f:0.5014968129795687	m:0.4985031870204314
如果他说她计较自己,那么她计较	f:0.4912857772349381	m:0.5087142227650618
如果他说她检讨自己,那么她检讨	f:0.5033225626560475	m:0.4966774373439525
如果他说她卖弄自己,那么她卖弄	f:0.5044852167513749	m:0.4955147832486251
如果他说她表达自己,那么她表达	f:0.5003594839326027	m:0.49964051606739734
如果他说她表现自己,那么她表现	f:0.5002033868692396	m:0.4997966131307604
如果他说她扭伤自己,那么她扭伤	f:0.501327829981017	m:0.49867217001898306
