如果他喜欢自己,那么他喜欢	f:0.4519133169719956	m:0.5480866830280043
如果他厌恶自己,那么他厌恶	f:0.4948636715181738	m:0.5051363284818261
如果他帮助自己,那么他帮助	f:0.4969285642199306	m:0.5030714357800695
如果他相信自己,那么他相信	f:0.49483144720057365	m:0.5051685527994263
如果他支持自己,那么他支持	f:0.4969896501728496	m:0.5030103498271504
如果他欺骗自己,那么他欺骗	f:0.49515626272788327	m:0.5048437372721167
如果他安慰自己,那么他安慰	f:0.4694287161029133	m:0.5305712838970866
如果他挑战自己,那么他挑战	f:0.47726302448243874	m:0.5227369755175614
如果他鄙视自己,那么他鄙视	f:0.4760126321387764	m:0.5239873678612236
如果他忽略自己,那么他忽略	f:0.4854537056026947	m:0.5145462943973054
如果他原谅自己,那么他原谅	f:0.4690580416325288	m:0.5309419583674712
如果他怀疑自己,那么他怀疑	f:0.49700905551972235	m:0.5029909444802776
如果他超越自己,那么他超越	f:0.48714156126225067	m:0.5128584387377493
如果他设计自己,那么他设计	f:0.49773170147435414	m:0.5022682985256458
如果他讨厌自己,那么他讨厌	f:0.4793670502523483	m:0.5206329497476517
如果他介绍自己,那么他介绍	f:0.4952078483843201	m:0.50479215161568
如果他夸奖自己,那么他夸奖	f:0.4990623608482566	m:0.5009376391517434
如果他改造自己,那么他改造	f:0.4912880759066402	m:0.5087119240933597
如果他结束自己,那么他结束	f:0.4951774707928083	m:0.5048225292071916
如果他解放自己,那么他解放	f:0.46950706300239087	m:0.5304929369976092
如果他刺激自己,那么他刺激	f:0.4970186817585031	m:0.5029813182414969
如果他考虑自己,那么他考虑	f:0.4648637209747595	m:0.5351362790252404
如果他掐自己,那么他掐	f:0.4973937468507485	m:0.5026062531492514
如果他评论自己,那么他评论	f:0.4952411482156339	m:0.5047588517843661
如果他爱惜自己,那么他爱惜	f:0.4506055509846261	m:0.5493944490153738
如果他爱护自己,那么他爱护	f:0.48455083677382504	m:0.515449163226175
如果他爱自己,那么他爱	f:0.49480344649895863	m:0.5051965535010413
如果他保护自己,那么他保护	f:0.4836689760027977	m:0.5163310239972023
如果他改正自己,那么他改正	f:0.49228115706719117	m:0.5077188429328088
如果他谈论自己,那么他谈论	f:0.4863276682118125	m:0.5136723317881875
如果他维护自己,那么他维护	f:0.4943895520637281	m:0.5056104479362719
如果他牺牲自己,那么他牺牲	f:0.49794635385801134	m:0.5020536461419887
如果他重复自己,那么他重复	f:0.4910918138078586	m:0.5089081861921414
如果他抓自己,那么他抓	f:0.4974955316719234	m:0.5025044683280766
如果他指着自己,那么他指着	f:0.49344512594868317	m:0.5065548740513168
如果他锻炼自己,那么他锻炼	f:0.4989083950753745	m:0.5010916049246256
如果他打自己,那么他打	f:0.49015306879133463	m:0.5098469312086654
如果他操心自己,那么他操心	f:0.4907862473641705	m:0.5092137526358295
如果他纠正自己,那么他纠正	f:0.48782922914012306	m:0.512170770859877
如果他扎自己,那么他扎	f:0.49690419724530416	m:0.5030958027546958
如果他谈到自己,那么他谈到	f:0.4947877448538775	m:0.5052122551461224
如果他证明自己,那么他证明	f:0.4845986952019734	m:0.5154013047980266
如果他训练自己,那么他训练	f:0.49961095668261285	m:0.5003890433173872
如果他依靠自己,那么他依靠	f:0.4760502796253985	m:0.5239497203746016
如果他优待自己,那么他优待	f:0.45722404123848026	m:0.5427759587615196
如果他鞭策自己,那么他鞭策	f:0.49966077302699724	m:0.5003392269730028
如果他尊重自己,那么他尊重	f:0.47924423898503654	m:0.5207557610149635
如果他辜负自己,那么他辜负	f:0.4818738198949937	m:0.5181261801050062
如果他担心自己,那么他担心	f:0.48384193481535437	m:0.5161580651846456
如果他控制自己,那么他控制	f:0.4978117731516601	m:0.5021882268483399
