如果他说她诬陷自己,那么她诬陷	f:0.4850111535461346	m:0.5149888464538653
如果他说她拥抱自己,那么她拥抱	f:0.4968676816200626	m:0.5031323183799374
如果他说她离开自己,那么她离开	f:0.4995337660844385	m:0.5004662339155614
如果他说她打扰自己,那么她打扰	f:0.4980247994256761	m:0.5019752005743239
如果他说她超过自己,那么她超过	f:0.48394951355696314	m:0.5160504864430367
如果他说她忘了自己,那么她忘了	f:0.5028417935997701	m:0.4971582064002298
如果他说她回答自己,那么她回答	f:0.499830062507676	m:0.5001699374923241
如果他说她表扬自己,那么她表扬	f:0.49697409073427945	m:0.5030259092657204
如果他说她反对自己,那么她反对	f:0.49880231214653437	m:0.5011976878534656
如果他说她调查自己,那么她调查	f:0.4990937014257025	m:0.5009062985742976
如果他说她拜访自己,那么她拜访	f:0.47615235285927043	m:0.5238476471407296
如果他说她偷听自己,那么她偷听	f:0.5003881512477785	m:0.4996118487522215
如果他说她暗恋自己,那么她暗恋	f:0.4979864492781836	m:0.5020135507218164
如果他说她邀请自己,那么她邀请	f:0.4957807357789308	m:0.5042192642210692
如果他说她等待自己,那么她等待	f:0.4699030349092725	m:0.5300969650907276
如果他说她嫉妒自己,那么她嫉妒	f:0.4764736610893489	m:0.523526338910651
如果他说她羡慕自己,那么她羡慕	f:0.4937503016623566	m:0.5062496983376434
如果他说她搭讪自己,那么她搭讪	f:0.44714735879062206	m:0.5528526412093779
如果他说她监视自己,那么她监视	f:0.49827683566858894	m:0.5017231643314112
如果他说她吵醒自己,那么她吵醒	f:0.4998891901941485	m:0.5001108098058515
如果他说她激怒自己,那么她激怒	f:0.47201475214247307	m:0.527985247857527
如果他说她模仿自己,那么她模仿	f:0.5013785044427103	m:0.4986214955572897
如果他说她欺负自己,那么她欺负	f:0.5013827612529115	m:0.49861723874708846
如果他说她追随自己,那么她追随	f:0.4763651856536279	m:0.5236348143463722
如果他说她回避自己,那么她回避	f:0.47787898633755443	m:0.5221210136624456
如果他说她思念自己,那么她思念	f:0.5004788426149755	m:0.49952115738502445
如果他说她仰慕自己,那么她仰慕	f:0.49888164495004333	m:0.5011183550499566
如果他说她冷落自己,那么她冷落	f:0.4554446629381526	m:0.5445553370618474
如果他说她靠近自己,那么她靠近	f:0.4850255125801296	m:0.5149744874198705
如果他说她辅导自己,那么她辅导	f:0.49924934490636425	m:0.5007506550936358
如果他说她干扰自己,那么她干扰	f:0.4868410646294855	m:0.5131589353705145
如果他说她加入自己,那么她加入	f:0.4994912391421663	m:0.5005087608578338
如果他说她接近自己,那么她接近	f:0.47006318375051404	m:0.529936816249486
如果他说她看望自己,那么她看望	f:0.4713248119455255	m:0.5286751880544746
如果他说她捞自己,那么她捞	f:0.49737561762126764	m:0.5026243823787323
如果他说她欢迎自己,那么她欢迎	f:0.48913755403665427	m:0.5108624459633457
如果他说她勾引自己,那么她勾引	f:0.4859307147311316	m:0.5140692852688684
如果他说她勾结自己,那么她勾结	f:0.49874811508588657	m:0.5012518849141134
如果他说她等自己,那么她等	f:0.4942268556850157	m:0.5057731443149843
如果他说她等候自己,那么她等候	f:0.49060267801044505	m:0.509397321989555
如果他说她挤自己,那么她挤	f:0.4820004815645179	m:0.5179995184354821
如果他说她排挤自己,那么她排挤	f:0.4712073942905807	m:0.5287926057094193
如果他说她欺压自己,那么她欺压	f:0.495997217316979	m:0.504002782683021
如果他说她探望自己,那么她探望	f:0.4943484998699453	m:0.5056515001300548
如果他说她信任自己,那么她信任	f:0.49926849728020434	m:0.5007315027197956
如果他说她响应自己,那么她响应	f:0.4715925696301414	m:0.5284074303698586
如果他说她学习自己,那么她学习	f:0.5002038772978054	m:0.49979612270219476
如果他说她咬自己,那么她咬	f:0.4698200848364049	m:0.530179915163595
如果他说她消灭自己,那么她消灭	f:0.4956512544277371	m:0.5043487455722628
如果他说她追赶自己,那么她追赶	f:0.499976242892462	m:0.500023757107538
如果他说她追求自己,那么她追求	f:0.48519429001037984	m:0.51480570998962
如果他说她阻挡自己,那么她阻挡	f:0.4937614087455244	m:0.5062385912544756
如果他说她孝敬自己,那么她孝敬	f:0.5051634706536035	m:0.4948365293463965
如果他说她赢自己,那么她赢	f:0.5037494863206544	m:0.4962505136793456
如果他说她招呼自己,那么她招呼	f:0.4935747010687862	m:0.5064252989312138
如果他说她指导自己,那么她指导	f:0.4994069775436766	m:0.5005930224563234
如果他说她支援自己,那么她支援	f:0.4985664630938502	m:0.5014335369061498
如果他说她替换自己,那么她替换	f:0.49906181235075764	m:0.5009381876492424
如果他说她通知自己,那么她通知	f:0.49669214973116527	m:0.5033078502688347
如果他说她吸引自己,那么她吸引	f:0.49064741837931636	m:0.5093525816206836
如果他说她影响自己,那么她影响	f:0.49364753489852475	m:0.5063524651014754
如果他说她杀害自己,那么她杀害	f:0.5007069134099854	m:0.49929308659001465
如果他说她赔偿自己,那么她赔偿	f:0.4907800278796872	m:0.5092199721203129
如果他说她衬托自己,那么她衬托	f:0.4999502995053081	m:0.500049700494692
如果他说她扣留自己,那么她扣留	f:0.5014117508863696	m:0.49858824911363037
如果他说她恐吓自己,那么她恐吓	f:0.47988642872693305	m:0.520113571273067
如果他说她联络自己,那么她联络	f:0.49898510460890116	m:0.5010148953910988
如果他说她忍受自己,那么她忍受	f:0.5106945990898876	m:0.48930540091011243
如果他说她请示自己,那么她请示	f:0.4917053693434535	m:0.5082946306565466
如果他说她算计自己,那么她算计	f:0.481199591961497	m:0.518800408038503
