在“他给她关于自己的书”这句话中，自己指的是	f:0.490559269574025	m:0.5094407304259749
在“他给她关于自己的信”这句话中，自己指的是	f:0.48831532589001536	m:0.5116846741099846
在“他给她关于自己的结果”这句话中，自己指的是	f:0.4944741591648603	m:0.5055258408351397
在“他给她关于自己的问题”这句话中，自己指的是	f:0.49306580181659465	m:0.5069341981834053
在“他给她关于自己的话”这句话中，自己指的是	f:0.4923793018791635	m:0.5076206981208364
在“他给她关于自己的成绩”这句话中，自己指的是	f:0.49345411508815823	m:0.5065458849118418
在“他给她关于自己的钱”这句话中，自己指的是	f:0.49495237332859177	m:0.5050476266714082
在“他给她关于自己的经验”这句话中，自己指的是	f:0.4929249240913347	m:0.5070750759086653
在“他给她关于自己的生日”这句话中，自己指的是	f:0.4903438177840836	m:0.5096561822159164
在“他给她关于自己的计划”这句话中，自己指的是	f:0.49372402013804073	m:0.5062759798619592
在“他给她关于自己的意见”这句话中，自己指的是	f:0.4929018021348769	m:0.5070981978651231
在“他给她关于自己的想法”这句话中，自己指的是	f:0.49155411001201843	m:0.5084458899879816
在“他送给她关于自己的书”这句话中，自己指的是	f:0.49112341694229145	m:0.5088765830577087
在“他送给她关于自己的信”这句话中，自己指的是	f:0.4906751001989556	m:0.5093248998010445
在“他送给她关于自己的结果”这句话中，自己指的是	f:0.4943239743089895	m:0.5056760256910106
在“他送给她关于自己的问题”这句话中，自己指的是	f:0.4937237221617732	m:0.5062762778382268
在“他送给她关于自己的话”这句话中，自己指的是	f:0.4935163317729496	m:0.5064836682270504
在“他送给她关于自己的成绩”这句话中，自己指的是	f:0.4935520885793407	m:0.5064479114206594
在“他送给她关于自己的钱”这句话中，自己指的是	f:0.4941041818184201	m:0.5058958181815798
在“他送给她关于自己的经验”这句话中，自己指的是	f:0.49320000615634596	m:0.506799993843654
在“他送给她关于自己的生日”这句话中，自己指的是	f:0.4933623398893022	m:0.5066376601106979
在“他送给她关于自己的计划”这句话中，自己指的是	f:0.492539721088139	m:0.5074602789118611
在“他送给她关于自己的意见”这句话中，自己指的是	f:0.4936503009458727	m:0.5063496990541272
在“他送给她关于自己的想法”这句话中，自己指的是	f:0.4875790407046078	m:0.5124209592953922
在“他告诉她关于自己的书”这句话中，自己指的是	f:0.4931718779891089	m:0.5068281220108911
在“他告诉她关于自己的信”这句话中，自己指的是	f:0.49189292914716376	m:0.5081070708528364
在“他告诉她关于自己的结果”这句话中，自己指的是	f:0.49306937740780143	m:0.5069306225921986
在“他告诉她关于自己的问题”这句话中，自己指的是	f:0.49283088704585526	m:0.5071691129541448
在“他告诉她关于自己的话”这句话中，自己指的是	f:0.49169104303355243	m:0.5083089569664475
在“他告诉她关于自己的成绩”这句话中，自己指的是	f:0.4924447625017107	m:0.5075552374982892
在“他告诉她关于自己的钱”这句话中，自己指的是	f:0.49220073903089834	m:0.5077992609691017
在“他告诉她关于自己的经验”这句话中，自己指的是	f:0.490908641365536	m:0.5090913586344641
在“他告诉她关于自己的生日”这句话中，自己指的是	f:0.48957951774260744	m:0.5104204822573926
在“他告诉她关于自己的计划”这句话中，自己指的是	f:0.4937298455749674	m:0.5062701544250325
在“他告诉她关于自己的意见”这句话中，自己指的是	f:0.4929209611765425	m:0.5070790388234575
在“他告诉她关于自己的想法”这句话中，自己指的是	f:0.49051684626476816	m:0.5094831537352319
在“他通知她关于自己的书”这句话中，自己指的是	f:0.4944749041319311	m:0.5055250958680689
在“他通知她关于自己的信”这句话中，自己指的是	f:0.49454472255424764	m:0.5054552774457525
在“他通知她关于自己的结果”这句话中，自己指的是	f:0.49494021522325427	m:0.5050597847767457
在“他通知她关于自己的问题”这句话中，自己指的是	f:0.4951310504791578	m:0.5048689495208423
在“他通知她关于自己的话”这句话中，自己指的是	f:0.4950409369613916	m:0.5049590630386084
在“他通知她关于自己的成绩”这句话中，自己指的是	f:0.493399049915511	m:0.506600950084489
