在“她喜欢自己”这句话中，自己指的是	f:0.5023433394519999	m:0.49765666054800006
在“她厌恶自己”这句话中，自己指的是	f:0.5024628738052578	m:0.4975371261947422
在“她帮助自己”这句话中，自己指的是	f:0.5007713430961359	m:0.4992286569038641
在“她相信自己”这句话中，自己指的是	f:0.5023815451763384	m:0.49761845482366174
在“她支持自己”这句话中，自己指的是	f:0.5011829562764727	m:0.4988170437235273
在“她欺骗自己”这句话中，自己指的是	f:0.50074280743788	m:0.4992571925621201
在“她安慰自己”这句话中，自己指的是	f:0.5010320231563881	m:0.4989679768436119
在“她挑战自己”这句话中，自己指的是	f:0.5010635240728103	m:0.49893647592718965
在“她鄙视自己”这句话中，自己指的是	f:0.5011044126669282	m:0.4988955873330718
在“她忽略自己”这句话中，自己指的是	f:0.501165790233478	m:0.49883420976652204
在“她原谅自己”这句话中，自己指的是	f:0.5012076473594559	m:0.4987923526405441
在“她怀疑自己”这句话中，自己指的是	f:0.5021919169677106	m:0.49780808303228935
在“她超越自己”这句话中，自己指的是	f:0.5008459083115857	m:0.4991540916884142
在“她设计自己”这句话中，自己指的是	f:0.5010288790247304	m:0.49897112097526963
在“她讨厌自己”这句话中，自己指的是	f:0.5020325518941935	m:0.49796744810580656
在“她介绍自己”这句话中，自己指的是	f:0.5042379079654449	m:0.49576209203455524
在“她夸奖自己”这句话中，自己指的是	f:0.5016403288405448	m:0.4983596711594553
在“她改造自己”这句话中，自己指的是	f:0.5009575325465776	m:0.49904246745342246
在“她结束自己”这句话中，自己指的是	f:0.5021480785772426	m:0.49785192142275736
在“她解放自己”这句话中，自己指的是	f:0.5009930418785833	m:0.49900695812141677
在“她刺激自己”这句话中，自己指的是	f:0.5010010884736299	m:0.4989989115263701
在“她考虑自己”这句话中，自己指的是	f:0.5015489111467171	m:0.498451088853283
在“她掐自己”这句话中，自己指的是	f:0.5012381647550154	m:0.4987618352449847
在“她评论自己”这句话中，自己指的是	f:0.5020377374123776	m:0.4979622625876224
在“她爱惜自己”这句话中，自己指的是	f:0.5013783092156994	m:0.4986216907843007
在“她爱护自己”这句话中，自己指的是	f:0.5014580744896783	m:0.4985419255103218
在“她爱自己”这句话中，自己指的是	f:0.5015468250041428	m:0.49845317499585723
在“她保护自己”这句话中，自己指的是	f:0.500968171936215	m:0.4990318280637851
在“她改正自己”这句话中，自己指的是	f:0.50085820173387	m:0.49914179826613
在“她谈论自己”这句话中，自己指的是	f:0.5022802790860349	m:0.4977197209139651
在“她维护自己”这句话中，自己指的是	f:0.5012870700541527	m:0.4987129299458473
在“她牺牲自己”这句话中，自己指的是	f:0.5010286704093568	m:0.49897132959064316
在“她重复自己”这句话中，自己指的是	f:0.5011878438298727	m:0.49881215617012736
在“她抓自己”这句话中，自己指的是	f:0.501752741905899	m:0.4982472580941009
在“她指着自己”这句话中，自己指的是	f:0.5069649482384634	m:0.49303505176153656
在“她锻炼自己”这句话中，自己指的是	f:0.5010104314638942	m:0.4989895685361057
在“她打自己”这句话中，自己指的是	f:0.5015964751826346	m:0.4984035248173654
在“她操心自己”这句话中，自己指的是	f:0.501262811121464	m:0.4987371888785361
在“她纠正自己”这句话中，自己指的是	f:0.5010988694618735	m:0.4989011305381265
在“她扎自己”这句话中，自己指的是	f:0.5014883980894358	m:0.49851160191056426
在“她谈到自己”这句话中，自己指的是	f:0.5026426963290782	m:0.49735730367092174
在“她证明自己”这句话中，自己指的是	f:0.5008488289307913	m:0.4991511710692087
在“她训练自己”这句话中，自己指的是	f:0.5016933316818191	m:0.498306668318181
在“她依靠自己”这句话中，自己指的是	f:0.5018903672031957	m:0.49810963279680426
在“她优待自己”这句话中，自己指的是	f:0.5011682191095209	m:0.4988317808904791
在“她鞭策自己”这句话中，自己指的是	f:0.5012865187148403	m:0.4987134812851597
在“她尊重自己”这句话中，自己指的是	f:0.5009496796631931	m:0.4990503203368068
在“她辜负自己”这句话中，自己指的是	f:0.5006284859446746	m:0.4993715140553255
在“她担心自己”这句话中，自己指的是	f:0.5024651834291505	m:0.49753481657084947
在“她控制自己”这句话中，自己指的是	f:0.5011463145199144	m:0.4988536854800856
