在“她们觉得她是在卖弄自己。”这句话中，自己指的是	f:0.5005128530849555	m:0.4994871469150445
在“我觉得他是想淹死自己。”这句话中，自己指的是	f:0.33276310705160944	m:0.33358472115985865	w:0.3336521717885318
在“我看她是故意显夸自己。”这句话中，自己指的是	f:0.3335645748405498	m:0.3329160191598497	w:0.3335194059996005
在“我知道他又开始在责备自己。”这句话中，自己指的是	f:0.33260110942966364	m:0.334245704770595	w:0.33315318579974135
在“我也提醒了他注意自己。”这句话中，自己指的是	f:0.3321665493054088	m:0.3331642344584135	w:0.3346692162361776
在“我发现她的唯一缺陷是她有时有点控制不住自己。”这句话中，自己指的是	f:0.33365005960497834	m:0.3331316284196882	w:0.33321831197533347
在“她想这个美国人也许一直都躺在紫外线灯下晒黑自己。”这句话中，自己指的是	f:0.5011885739826477	m:0.4988114260173524
在“请你不要以为我只是考虑自己。”这句话中，自己指的是	f:0.3326201806030046	m:0.33273923545368334	w:0.33464058394331214
在“我告诉了她我刚才做了什么和我为什么克制住了自己。”这句话中，自己指的是	f:0.33125522410853636	m:0.331419932922437	w:0.33732484296902676
在“他埋怨她只顾着自己。”这句话中，自己指的是	f:0.4974441750927324	m:0.5025558249072676
在“他认为她特意在考虑为他牺牲自己。”这句话中，自己指的是	f:0.4960904918147047	m:0.5039095081852952
在“她落在后面，奇怪他竟会只顾自己。”这句话中，自己指的是	f:0.5004122256298672	m:0.4995877743701328
在“我觉得他全靠香槟酒在支撑自己。”这句话中，自己指的是	f:0.3330396811206423	m:0.3337071543614003	w:0.3332531645179573
在“我们看到他坐在书桌前，准备结果自己。”这句话中，自己指的是	f:0.3326563306039208	m:0.334628801792574	w:0.3327148676035052
在“太阳好像早早就升起来了，想看看桑乔怎样折腾自己。”这句话中，自己指的是	f:0.4999931454658513	m:0.5000068545341487
在“尽管我痛不欲生，但我不愿意她这样折磨自己。”这句话中，自己指的是	f:0.3334933773333595	m:0.33316936841550193	w:0.3333372542511387
在“她无法简捷地理解女人为何要如此装饰自己。”这句话中，自己指的是	f:0.5003536342984863	m:0.49964636570151366
在“我们知道她已经能够照顾自己了。”这句话中，自己指的是	f:0.33407712972127007	m:0.33295052973595696	w:0.332972340542773
