如果他知道我经常批评自己,那么道我经常批评	f:0.32497467321941975	m:0.34365075793672795	w:0.3313745688438523
如果她知道我经常批评自己,那么道我经常批评	f:0.33710094426457526	m:0.32896397350599205	w:0.33393508222943263
如果他认为她知道我把自己的书送给了自己的朋友,那么为她知道我把自己的书送给了自己的	f:0.3330927118307637	m:0.33366583142545647	w:0.3332414567437799
如果她认为他知道我把自己的书送给了自己的朋友,那么为他知道我把自己的书送给了自己的	f:0.3336641326480953	m:0.3334116427895537	w:0.332924224562351
如果他担心我会批评自己,那么心我会批评	f:0.32612906306044176	m:0.3434370914011725	w:0.33043384553838573
如果她担心我会批评自己,那么心我会批评	f:0.3396700674523273	m:0.3279086020183811	w:0.33242133052929157
如果他知道我害了自己,那么道我害了	f:0.32349462642302323	m:0.3416021685077026	w:0.33490320506927423
如果她知道我害了自己,那么道我害了	f:0.3338932330586262	m:0.32634085284899367	w:0.3397659140923801
如果他觉得我对自己没信心,那么得我对自己没	f:0.3325588398983548	m:0.3338097604238212	w:0.33363139967782407
如果她觉得我对自己没信心,那么得我对自己没	f:0.33454728784801924	m:0.33228628052351866	w:0.33316643162846205
如果他认为我的骄傲害了自己,那么为我的骄傲害了	f:0.3257800670028987	m:0.3325694839251806	w:0.3416504490719207
如果她认为我的骄傲害了自己,那么为我的骄傲害了	f:0.3336680795387008	m:0.3269616073099782	w:0.339370313151321
如果她知道我告诉过她有关自己的工作,那么道我告诉过她有关自己的	f:0.3331411630504329	m:0.33195480715931563	w:0.3349040297902515
如果他知道我告诉过他有关自己的工作,那么道我告诉过他有关自己的	f:0.3321040262576553	m:0.3330774077647079	w:0.3348185659776368
如果他说我跟他谈过自己的事,那么我跟他谈过自己	f:0.33217268751294193	m:0.3336534246347403	w:0.3341738878523177
如果她说我跟她谈过自己的事,那么我跟她谈过自己	f:0.33428160340171165	m:0.33201029077239597	w:0.33370810582589244
如果她认为我从她那里听说了自己的分数,那么为我从她那里听说了自己的	f:0.33308471772716974	m:0.33273629380943226	w:0.33417898846339794
如果他认为我从他那里听说了自己的分数,那么为我从他那里听说了自己的	f:0.33276759179762405	m:0.3333374252747161	w:0.3338949829276599
如果他知道我在他家洗自己的照片,那么道我在他家洗自己的	f:0.33005640649600576	m:0.33226289065118175	w:0.3376807028528125
如果她知道我在她家洗自己的照片,那么道我在她家洗自己的	f:0.3325091606272996	m:0.3310483612841565	w:0.3364424780885439
如果当时他怕我再去找自己的麻烦就给了我钱,那么他怕我再去找自己的麻烦就给了	f:0.31435444607660634	m:0.32914745305843157	w:0.35649810086496203
如果当时她怕我再去找自己的麻烦就给了我钱,那么她怕我再去找自己的麻烦就给了	f:0.32109667519653723	m:0.3164852752125804	w:0.3624180495908823
如果她知道我的报告害了自己,那么道我的报告害了	f:0.3314344155620747	m:0.3150490380134172	w:0.35351654642450814
如果他知道我的报告害了自己,那么道我的报告害了	f:0.31094153869623653	m:0.3443182087279593	w:0.3447402525758041
如果他的话暗示我的信害了自己,那么话暗示我的信害了	f:0.31980165439965313	m:0.3261356774144455	w:0.35406266818590143
如果她的话暗示我的信害了自己,那么话暗示我的信害了	f:0.3248963453201947	m:0.32230177569011853	w:0.35280187898968673
如果她认为我恨自己,那么为我恨	f:0.3585316055772018	m:0.31506155197249336	w:0.32640684245030477
如果他认为我恨自己,那么为我恨	f:0.29513335224383846	m:0.4021074216848963	w:0.3027592260712652
如果他说我喜欢自己,那么我喜欢	f:0.3276377636074146	m:0.3425004765958025	w:0.32986175979678284
如果她说我喜欢自己,那么我喜欢	f:0.3421767063841526	m:0.32846867246562106	w:0.3293546211502263
如果她告诉别人我觉得自己明年可以考进好大学,那么诉别人我觉得自己明年可以考进好	f:0.33156504183394353	m:0.33140681914636183	w:0.33702813901969464
如果他告诉别人我觉得自己明年可以考进好大学,那么诉别人我觉得自己明年可以考进好	f:0.3300226486633888	m:0.33198683841440074	w:0.33799051292221044
如果他说我批评了自己,那么我批评了	f:0.32464499259064544	m:0.3461419990867039	w:0.3292130083226507
如果她说我批评了自己,那么我批评了	f:0.34644234746312774	m:0.32483003772189223	w:0.3287276148149799
如果她觉得我在批评自己,那么得我在批评	f:0.37094409585385496	m:0.3121513427308644	w:0.31690456141528056
如果他觉得我在批评自己,那么得我在批评	f:0.3035293285864594	m:0.38639919628965397	w:0.31007147512388666
如果她认为我知道自己的太太是一个好人,那么为我知道自己的太太是一个	f:0.33326721963039785	m:0.3327661311454909	w:0.3339666492241113
如果他认为我知道自己的太太是一个好人,那么为我知道自己的太太是一个	f:0.33235273538719673	m:0.3334314517097137	w:0.3342158129030896
如果他觉得我不喜欢自己,那么得我不喜欢	f:0.3259928912501465	m:0.3445026336104979	w:0.3295044751393555
如果她觉得我不喜欢自己,那么得我不喜欢	f:0.3387086952320984	m:0.32971083251109357	w:0.3315804722568081
