如果他喜欢自己,那么他喜欢	f:0.49487821307390056	m:0.5051217869260994
如果他厌恶自己,那么他厌恶	f:0.4943041235711494	m:0.5056958764288506
如果他帮助自己,那么他帮助	f:0.4623507841190234	m:0.5376492158809766
如果他相信自己,那么他相信	f:0.49177823944271004	m:0.50822176055729
如果他支持自己,那么他支持	f:0.47834592762252637	m:0.5216540723774736
如果他欺骗自己,那么他欺骗	f:0.4631975246754672	m:0.5368024753245327
如果他安慰自己,那么他安慰	f:0.49091781529620215	m:0.509082184703798
如果他挑战自己,那么他挑战	f:0.4886223250707086	m:0.5113776749292914
如果他鄙视自己,那么他鄙视	f:0.48538223541955794	m:0.5146177645804422
如果他忽略自己,那么他忽略	f:0.47721343425834256	m:0.5227865657416574
如果他原谅自己,那么他原谅	f:0.47812865856279957	m:0.5218713414372004
如果他怀疑自己,那么他怀疑	f:0.49363535307419704	m:0.506364646925803
如果他超越自己,那么他超越	f:0.4917655277426838	m:0.5082344722573162
如果他设计自己,那么他设计	f:0.49100554909898014	m:0.5089944509010198
如果他讨厌自己,那么他讨厌	f:0.4908355892614374	m:0.5091644107385627
如果他介绍自己,那么他介绍	f:0.47844474835932227	m:0.5215552516406777
如果他夸奖自己,那么他夸奖	f:0.46385405294053356	m:0.5361459470594664
如果他改造自己,那么他改造	f:0.4898498691865401	m:0.51015013081346
如果他结束自己,那么他结束	f:0.4771133038818682	m:0.5228866961181319
如果他解放自己,那么他解放	f:0.4876833078372423	m:0.5123166921627578
如果他刺激自己,那么他刺激	f:0.47817001800990494	m:0.5218299819900951
如果他考虑自己,那么他考虑	f:0.48712266035210666	m:0.5128773396478933
如果他掐自己,那么他掐	f:0.4889965890925692	m:0.5110034109074308
如果他评论自己,那么他评论	f:0.49309415765940423	m:0.5069058423405958
如果他爱惜自己,那么他爱惜	f:0.4817461510097086	m:0.5182538489902914
如果他爱护自己,那么他爱护	f:0.4860435182469386	m:0.5139564817530615
如果他爱自己,那么他爱	f:0.4953527629341043	m:0.5046472370658958
如果他保护自己,那么他保护	f:0.47298457882270334	m:0.5270154211772966
如果他改正自己,那么他改正	f:0.49842259528851107	m:0.5015774047114889
如果他谈论自己,那么他谈论	f:0.4890742123346631	m:0.5109257876653369
如果他维护自己,那么他维护	f:0.47845654497712736	m:0.5215434550228727
如果他牺牲自己,那么他牺牲	f:0.4695226479997209	m:0.5304773520002792
如果他重复自己,那么他重复	f:0.4947097384007855	m:0.5052902615992144
如果他抓自己,那么他抓	f:0.47342209032693555	m:0.5265779096730645
如果他指着自己,那么他指着	f:0.4932705768353989	m:0.5067294231646011
如果他锻炼自己,那么他锻炼	f:0.4922497339975801	m:0.5077502660024199
如果他打自己,那么他打	f:0.49169496420138525	m:0.5083050357986146
如果他操心自己,那么他操心	f:0.4851163760102037	m:0.5148836239897963
如果他纠正自己,那么他纠正	f:0.4971657772958857	m:0.5028342227041144
如果他扎自己,那么他扎	f:0.47631292757132926	m:0.5236870724286706
如果他谈到自己,那么他谈到	f:0.49420621844651963	m:0.5057937815534803
如果他证明自己,那么他证明	f:0.4899736356291053	m:0.5100263643708948
如果他训练自己,那么他训练	f:0.4842990865445169	m:0.515700913455483
如果他依靠自己,那么他依靠	f:0.4783898377836964	m:0.5216101622163036
如果他优待自己,那么他优待	f:0.48183055027465377	m:0.5181694497253463
如果他鞭策自己,那么他鞭策	f:0.4929131288723651	m:0.5070868711276348
如果他尊重自己,那么他尊重	f:0.48054632503698574	m:0.5194536749630142
如果他辜负自己,那么他辜负	f:0.4999958443477227	m:0.5000041556522773
如果他担心自己,那么他担心	f:0.4914383935582726	m:0.5085616064417274
如果他控制自己,那么他控制	f:0.48753115136303826	m:0.5124688486369618
