如果她喜欢自己,那么她喜欢	f:0.5060184727145245	m:0.4939815272854755
如果她厌恶自己,那么她厌恶	f:0.5031657281210591	m:0.4968342718789409
如果她帮助自己,那么她帮助	f:0.5081753224233354	m:0.49182467757666465
如果她相信自己,那么她相信	f:0.5064586122804424	m:0.4935413877195575
如果她支持自己,那么她支持	f:0.5166257171246185	m:0.4833742828753814
如果她欺骗自己,那么她欺骗	f:0.5201483783532277	m:0.47985162164677236
如果她安慰自己,那么她安慰	f:0.5158938710165717	m:0.4841061289834282
如果她挑战自己,那么她挑战	f:0.5061641725098842	m:0.49383582749011584
如果她鄙视自己,那么她鄙视	f:0.5044272795855862	m:0.4955727204144139
如果她忽略自己,那么她忽略	f:0.5208845069352757	m:0.47911549306472423
如果她原谅自己,那么她原谅	f:0.5118187619029152	m:0.4881812380970848
如果她怀疑自己,那么她怀疑	f:0.5063481445781809	m:0.49365185542181905
如果她超越自己,那么她超越	f:0.505758966174298	m:0.49424103382570184
如果她设计自己,那么她设计	f:0.5057722017093695	m:0.49422779829063046
如果她讨厌自己,那么她讨厌	f:0.504958436960385	m:0.495041563039615
如果她介绍自己,那么她介绍	f:0.5202638850465594	m:0.4797361149534406
如果她夸奖自己,那么她夸奖	f:0.5182025643479976	m:0.4817974356520025
如果她改造自己,那么她改造	f:0.5081583894440913	m:0.49184161055590875
如果她结束自己,那么她结束	f:0.5113918303617817	m:0.4886081696382183
如果她解放自己,那么她解放	f:0.507462421407893	m:0.492537578592107
如果她刺激自己,那么她刺激	f:0.5228020828448233	m:0.4771979171551766
如果她考虑自己,那么她考虑	f:0.5085193528664049	m:0.49148064713359507
如果她掐自己,那么她掐	f:0.5070963362936197	m:0.4929036637063803
如果她评论自己,那么她评论	f:0.5046951464036266	m:0.49530485359637355
如果她爱惜自己,那么她爱惜	f:0.5125111497514447	m:0.4874888502485552
如果她爱护自己,那么她爱护	f:0.5144377112325428	m:0.4855622887674572
如果她爱自己,那么她爱	f:0.5065694949994328	m:0.4934305050005671
如果她保护自己,那么她保护	f:0.5337944509398982	m:0.4662055490601018
如果她改正自己,那么她改正	f:0.5038425662388977	m:0.49615743376110233
如果她谈论自己,那么她谈论	f:0.5083031447896579	m:0.4916968552103422
如果她维护自己,那么她维护	f:0.5249337538284592	m:0.47506624617154086
如果她牺牲自己,那么她牺牲	f:0.5340706762357228	m:0.4659293237642772
如果她重复自己,那么她重复	f:0.5033356036207428	m:0.4966643963792572
如果她抓自己,那么她抓	f:0.5179632705714887	m:0.4820367294285112
如果她指着自己,那么她指着	f:0.5049977463429709	m:0.4950022536570292
如果她锻炼自己,那么她锻炼	f:0.50397483774126	m:0.49602516225874
如果她打自己,那么她打	f:0.5022423959869232	m:0.4977576040130768
如果她操心自己,那么她操心	f:0.5090649588153714	m:0.49093504118462855
如果她纠正自己,那么她纠正	f:0.5039307839020329	m:0.49606921609796695
如果她扎自己,那么她扎	f:0.5188854814634776	m:0.48111451853652243
如果她谈到自己,那么她谈到	f:0.5054786610910466	m:0.49452133890895345
如果她证明自己,那么她证明	f:0.5132550895745471	m:0.48674491042545287
如果她训练自己,那么她训练	f:0.5093912461494017	m:0.4906087538505984
如果她依靠自己,那么她依靠	f:0.5175989796267481	m:0.48240102037325205
如果她优待自己,那么她优待	f:0.5163937239880166	m:0.48360627601198336
如果她鞭策自己,那么她鞭策	f:0.5017344880890066	m:0.4982655119109935
如果她尊重自己,那么她尊重	f:0.5184053719665013	m:0.48159462803349873
如果她辜负自己,那么她辜负	f:0.500005234672585	m:0.49999476532741505
如果她担心自己,那么她担心	f:0.5061968795767616	m:0.4938031204232383
如果她控制自己,那么她控制	f:0.5087214424522891	m:0.4912785575477109
