如果他说她诬陷自己,那么她诬陷	f:0.48301630803491247	m:0.5169836919650876
如果他说她拥抱自己,那么她拥抱	f:0.499318021074031	m:0.500681978925969
如果他说她离开自己,那么她离开	f:0.4953895479541843	m:0.5046104520458157
如果他说她打扰自己,那么她打扰	f:0.44604354430626075	m:0.5539564556937393
如果他说她超过自己,那么她超过	f:0.493484266866659	m:0.506515733133341
如果他说她忘了自己,那么她忘了	f:0.49753289297086917	m:0.5024671070291309
如果他说她回答自己,那么她回答	f:0.4941339551084709	m:0.505866044891529
如果他说她表扬自己,那么她表扬	f:0.4714276619815295	m:0.5285723380184705
如果他说她反对自己,那么她反对	f:0.48760034694125015	m:0.5123996530587498
如果他说她调查自己,那么她调查	f:0.4966081980292598	m:0.5033918019707402
如果他说她拜访自己,那么她拜访	f:0.4896773871853792	m:0.5103226128146208
如果他说她偷听自己,那么她偷听	f:0.4984908028412979	m:0.5015091971587021
如果他说她暗恋自己,那么她暗恋	f:0.49386243428846344	m:0.5061375657115366
如果他说她邀请自己,那么她邀请	f:0.4871203889963316	m:0.5128796110036685
如果他说她等待自己,那么她等待	f:0.4930828475694503	m:0.5069171524305497
如果他说她嫉妒自己,那么她嫉妒	f:0.4757462846299261	m:0.5242537153700739
如果他说她羡慕自己,那么她羡慕	f:0.4813607411403686	m:0.5186392588596315
如果他说她搭讪自己,那么她搭讪	f:0.49638804301173983	m:0.5036119569882601
如果他说她监视自己,那么她监视	f:0.5026211032821744	m:0.49737889671782565
如果他说她吵醒自己,那么她吵醒	f:0.47761426549982977	m:0.5223857345001702
如果他说她激怒自己,那么她激怒	f:0.47295894664503724	m:0.5270410533549628
如果他说她模仿自己,那么她模仿	f:0.47168230392454413	m:0.5283176960754559
如果他说她欺负自己,那么她欺负	f:0.49479001991145044	m:0.5052099800885496
如果他说她追随自己,那么她追随	f:0.4984763644765041	m:0.5015236355234958
如果他说她回避自己,那么她回避	f:0.49641059218861266	m:0.5035894078113873
如果他说她思念自己,那么她思念	f:0.4949038061290115	m:0.5050961938709885
如果他说她仰慕自己,那么她仰慕	f:0.4868448071171698	m:0.5131551928828303
如果他说她冷落自己,那么她冷落	f:0.49765406407775786	m:0.5023459359222421
如果他说她靠近自己,那么她靠近	f:0.4986113844983486	m:0.5013886155016514
如果他说她辅导自己,那么她辅导	f:0.4863538804049745	m:0.5136461195950256
如果他说她干扰自己,那么她干扰	f:0.44120788298346064	m:0.5587921170165394
如果他说她加入自己,那么她加入	f:0.49790535602487035	m:0.5020946439751296
如果他说她接近自己,那么她接近	f:0.4986008550471518	m:0.5013991449528482
如果他说她看望自己,那么她看望	f:0.4991823493341032	m:0.5008176506658968
如果他说她捞自己,那么她捞	f:0.49983091466773377	m:0.5001690853322662
如果他说她欢迎自己,那么她欢迎	f:0.47990922644981804	m:0.520090773550182
如果他说她勾引自己,那么她勾引	f:0.4928564026175016	m:0.5071435973824984
如果他说她勾结自己,那么她勾结	f:0.4924389730939629	m:0.507561026906037
如果他说她等自己,那么她等	f:0.494838473740627	m:0.505161526259373
如果他说她等候自己,那么她等候	f:0.48727162687740977	m:0.5127283731225902
如果他说她挤自己,那么她挤	f:0.49943798245317217	m:0.5005620175468277
如果他说她排挤自己,那么她排挤	f:0.4889673563750827	m:0.5110326436249174
如果他说她欺压自己,那么她欺压	f:0.511831778931165	m:0.4881682210688349
如果他说她探望自己,那么她探望	f:0.49458117020949527	m:0.5054188297905048
如果他说她信任自己,那么她信任	f:0.5036093454631212	m:0.4963906545368789
如果他说她响应自己,那么她响应	f:0.49985802546525104	m:0.5001419745347491
如果他说她学习自己,那么她学习	f:0.4992330657744996	m:0.5007669342255004
如果他说她咬自己,那么她咬	f:0.47884298467722386	m:0.521157015322776
如果他说她消灭自己,那么她消灭	f:0.49184729645510283	m:0.508152703544897
如果他说她追赶自己,那么她追赶	f:0.4924321226892562	m:0.5075678773107438
如果他说她追求自己,那么她追求	f:0.49558867784568383	m:0.504411322154316
如果他说她阻挡自己,那么她阻挡	f:0.4807175085308972	m:0.5192824914691028
如果他说她孝敬自己,那么她孝敬	f:0.43388758940623834	m:0.5661124105937616
如果他说她赢自己,那么她赢	f:0.49464670524501647	m:0.5053532947549836
如果他说她招呼自己,那么她招呼	f:0.4821035712316699	m:0.5178964287683301
如果他说她指导自己,那么她指导	f:0.4968952870427348	m:0.5031047129572652
如果他说她支援自己,那么她支援	f:0.4929445275432763	m:0.5070554724567238
如果他说她替换自己,那么她替换	f:0.45083289969465407	m:0.549167100305346
如果他说她通知自己,那么她通知	f:0.49605547601319455	m:0.5039445239868054
如果他说她吸引自己,那么她吸引	f:0.49805855856531367	m:0.5019414414346863
如果他说她影响自己,那么她影响	f:0.5100191121668834	m:0.48998088783311644
如果他说她杀害自己,那么她杀害	f:0.4730289758129242	m:0.5269710241870758
如果他说她赔偿自己,那么她赔偿	f:0.4920964545280641	m:0.507903545471936
如果他说她衬托自己,那么她衬托	f:0.49998055398465185	m:0.5000194460153482
如果他说她扣留自己,那么她扣留	f:0.4928167673794416	m:0.5071832326205584
如果他说她恐吓自己,那么她恐吓	f:0.4394365447745646	m:0.5605634552254355
如果他说她联络自己,那么她联络	f:0.4985889044102552	m:0.5014110955897448
如果他说她忍受自己,那么她忍受	f:0.49923986668353365	m:0.5007601333164664
如果他说她请示自己,那么她请示	f:0.490547437154931	m:0.509452562845069
如果他说她算计自己,那么她算计	f:0.4987505495478649	m:0.5012494504521351
