如果她说他反思自己,那么他反思	f:0.5015014065704589	m:0.498498593429541
如果她说他反省自己,那么他反省	f:0.5000015628756954	m:0.4999984371243045
如果她说他坦白自己,那么他坦白	f:0.5057812678556209	m:0.49421873214437917
如果她说他迷失自己,那么他迷失	f:0.5004288026943071	m:0.4995711973056929
如果她说他克制自己,那么他克制	f:0.5001069235133472	m:0.49989307648665277
如果她说他检讨自己,那么他检讨	f:0.5042211731799261	m:0.49577882682007396
如果她说他放松自己,那么他放松	f:0.49939602992070575	m:0.5006039700792944
如果她说他磨练自己,那么他磨练	f:0.49966596071921465	m:0.5003340392807852
如果她说他奉献自己,那么他奉献	f:0.5009467850066268	m:0.49905321499337313
如果她说他调整自己,那么他调整	f:0.5001204592385307	m:0.49987954076146934
如果她说他提升自己,那么他提升	f:0.5008824052208505	m:0.4991175947791495
如果她说他炫耀自己,那么他炫耀	f:0.5008090862461647	m:0.4991909137538353
如果她说他调节自己,那么他调节	f:0.5002834563771207	m:0.49971654362287937
如果她说他坚持自己,那么他坚持	f:0.4999358209319212	m:0.5000641790680788
如果她说他交代自己,那么他交代	f:0.5018033807663097	m:0.4981966192336903
如果她说他计较自己,那么他计较	f:0.5035821289685213	m:0.4964178710314787
如果她说他检讨自己,那么他检讨	f:0.5042211731799261	m:0.49577882682007396
如果她说他卖弄自己,那么他卖弄	f:0.49928870402762393	m:0.5007112959723761
如果她说他表达自己,那么他表达	f:0.5016285547207106	m:0.4983714452792894
如果她说他表现自己,那么他表现	f:0.5018000828794812	m:0.49819991712051886
如果她说他扭伤自己,那么他扭伤	f:0.49922484093515646	m:0.5007751590648435
