如果他给她的书是关于自己的， 那么书是关于	f:0.5014326780009615	m:0.49856732199903847
如果他写给她的信是关于自己的， 那么信是关于	f:0.5024488349800085	m:0.4975511650199915
如果他给她的结果是关于自己的， 那么结果是关于	f:0.5005056199756828	m:0.4994943800243173
如果他问她的问题是关于自己的， 那么问题是关于	f:0.5058207046395788	m:0.49417929536042116
如果他给她讲的话是关于自己的， 那么话是关于	f:0.5023015693716159	m:0.49769843062838415
如果他告诉她的成绩是关于自己的， 那么成绩是关于	f:0.5040146712991791	m:0.49598532870082096
如果他给她的经验是关于自己的， 那么经验是关于	f:0.5001532576231719	m:0.49984674237682813
如果他给她的照片是关于自己的， 那么照片是关于	f:0.5009603305785458	m:0.4990396694214541
如果他给她的计划是关于自己的， 那么计划是关于	f:0.5008898257429878	m:0.49911017425701226
如果他给她看的论文是关于自己的， 那么论文是关于	f:0.50024522478123	m:0.49975477521877004
如果他放给她听的歌是关于自己的， 那么歌是关于	f:0.5013939101459095	m:0.49860608985409044
如果他提给她的意见是关于自己的， 那么意见是关于	f:0.5031701824726638	m:0.49682981752733624
如果他呈现给她的想法是关于自己的， 那么想法是关于	f:0.5020192638272332	m:0.49798073617276684
如果他告诉她的结果是关于自己的， 那么结果是关于	f:0.5030412986883285	m:0.49695870131167164
如果他告诉她的话是关于自己的， 那么话是关于	f:0.5032383537075186	m:0.4967616462924815
如果他告诉她的成绩是关于自己的， 那么成绩是关于	f:0.5040146712991791	m:0.49598532870082096
如果他告诉她的经验是关于自己的， 那么经验是关于	f:0.5025941595723897	m:0.4974058404276103
如果他给她展示的照片是关于自己的， 那么照片是关于	f:0.5000310151371707	m:0.4999689848628293
如果他告诉她的计划是关于自己的， 那么计划是关于	f:0.5026924264330414	m:0.4973075735669587
如果他告诉她的意见是关于自己的， 那么意见是关于	f:0.5040881211683895	m:0.4959118788316105
如果他告诉她的想法是关于自己的， 那么想法是关于	f:0.5039966897785807	m:0.4960033102214193
如果他通知她的结果是关于自己的， 那么结果是关于	f:0.5041104163470356	m:0.4958895836529645
如果他通知她的成绩是关于自己的， 那么成绩是关于	f:0.5055097318479765	m:0.49449026815202357
如果他分享给她的经验是关于自己的， 那么经验是关于	f:0.5001160466324189	m:0.49988395336758096
如果他分享给她的照片是关于自己的， 那么照片是关于	f:0.5004839166884895	m:0.49951608331151054
如果他分享给她的计划是关于自己的， 那么计划是关于	f:0.5006137454011649	m:0.499386254598835
如果他向她表达的意见是关于自己的， 那么意见是关于	f:0.5021779085720831	m:0.49782209142791684
如果他告知她的想法是关于自己的， 那么想法是关于	f:0.5040124890017668	m:0.4959875109982332
如果他提供给她的书是关于自己的， 那么书是关于	f:0.5009842687378162	m:0.4990157312621838
如果他提供给她的信是关于自己的， 那么信是关于	f:0.5000481324967373	m:0.49995186750326276
如果他提供给她的结果是关于自己的， 那么结果是关于	f:0.4999407437865602	m:0.5000592562134397
如果他提供给她的经验是关于自己的， 那么经验是关于	f:0.49973041706536797	m:0.500269582934632
如果他提供给她的照片是关于自己的， 那么照片是关于	f:0.5000321117694979	m:0.4999678882305021
如果他提供给她的计划是关于自己的， 那么计划是关于	f:0.5001295312511628	m:0.49987046874883717
如果他提供给她的意见是关于自己的， 那么意见是关于	f:0.499937861226819	m:0.500062138773181
如果他提供给她的想法是关于自己的， 那么想法是关于	f:0.499943681061506	m:0.5000563189384939
如果他拒绝回答她的问题是关于自己的， 那么问题是关于	f:0.5029752185051549	m:0.49702478149484514
如果他提醒她的事情是涉及自己的， 那么事情是关于	f:0.5026973565369058	m:0.4973026434630942
如果他提醒她的想法是关于自己的， 那么想法是关于	f:0.5026950724182965	m:0.4973049275817036
如果他推荐她的书是关于自己的， 那么书是关于	f:0.5024342171730213	m:0.4975657828269788
