如果她喜欢自己,那么她喜欢	f:0.50808718674399	m:0.49191281325600994
如果她厌恶自己,那么她厌恶	f:0.5067814242526809	m:0.4932185757473191
如果她帮助自己,那么她帮助	f:0.5067367183318442	m:0.4932632816681559
如果她相信自己,那么她相信	f:0.5059638801963787	m:0.49403611980362133
如果她支持自己,那么她支持	f:0.5079724174281997	m:0.49202758257180035
如果她欺骗自己,那么她欺骗	f:0.5053245833167156	m:0.49467541668328446
如果她安慰自己,那么她安慰	f:0.508228241979474	m:0.491771758020526
如果她挑战自己,那么她挑战	f:0.5076738716780068	m:0.49232612832199313
如果她鄙视自己,那么她鄙视	f:0.5093126658331839	m:0.490687334166816
如果她忽略自己,那么她忽略	f:0.5058628908195124	m:0.49413710918048764
如果她原谅自己,那么她原谅	f:0.5058167567158501	m:0.49418324328414975
如果她怀疑自己,那么她怀疑	f:0.5047576879148237	m:0.4952423120851764
如果她超越自己,那么她超越	f:0.5086939542786676	m:0.49130604572133246
如果她设计自己,那么她设计	f:0.506998887061301	m:0.49300111293869897
如果她讨厌自己,那么她讨厌	f:0.5086839045313258	m:0.4913160954686742
如果她介绍自己,那么她介绍	f:0.5077058627521106	m:0.49229413724788934
如果她夸奖自己,那么她夸奖	f:0.5056385547958494	m:0.4943614452041506
如果她改造自己,那么她改造	f:0.5061909591656133	m:0.4938090408343867
如果她结束自己,那么她结束	f:0.5064087371853827	m:0.4935912628146173
如果她解放自己,那么她解放	f:0.5074556782417275	m:0.4925443217582724
如果她刺激自己,那么她刺激	f:0.5078140026556623	m:0.49218599734433766
如果她考虑自己,那么她考虑	f:0.5063648411041939	m:0.4936351588958061
如果她掐自己,那么她掐	f:0.504256560166636	m:0.4957434398333641
如果她评论自己,那么她评论	f:0.5052363367986666	m:0.49476366320133336
如果她爱惜自己,那么她爱惜	f:0.5054896766132363	m:0.4945103233867637
如果她爱护自己,那么她爱护	f:0.507230408013964	m:0.49276959198603604
如果她爱自己,那么她爱	f:0.5052634834447236	m:0.49473651655527645
如果她保护自己,那么她保护	f:0.5065496198788204	m:0.4934503801211796
如果她改正自己,那么她改正	f:0.505706438017946	m:0.49429356198205393
如果她谈论自己,那么她谈论	f:0.5075710001634707	m:0.4924289998365294
如果她维护自己,那么她维护	f:0.5074221289820715	m:0.4925778710179285
如果她牺牲自己,那么她牺牲	f:0.5040275519378142	m:0.4959724480621857
如果她重复自己,那么她重复	f:0.5052710683562184	m:0.49472893164378157
如果她抓自己,那么她抓	f:0.504252869107798	m:0.49574713089220196
如果她指着自己,那么她指着	f:0.5082410978589256	m:0.4917589021410743
如果她锻炼自己,那么她锻炼	f:0.506333455516461	m:0.49366654448353897
如果她打自己,那么她打	f:0.5054120345231813	m:0.49458796547681877
如果她操心自己,那么她操心	f:0.5089335895886185	m:0.4910664104113816
如果她纠正自己,那么她纠正	f:0.5065599730238056	m:0.49344002697619427
如果她扎自己,那么她扎	f:0.5045453455124402	m:0.49545465448755976
如果她谈到自己,那么她谈到	f:0.5088100380653374	m:0.4911899619346626
如果她证明自己,那么她证明	f:0.505102754996261	m:0.49489724500373894
如果她训练自己,那么她训练	f:0.5072577170402225	m:0.4927422829597775
如果她依靠自己,那么她依靠	f:0.5067330486409554	m:0.4932669513590445
如果她优待自己,那么她优待	f:0.5050284514496935	m:0.49497154855030645
如果她鞭策自己,那么她鞭策	f:0.5068109847895323	m:0.49318901521046765
如果她尊重自己,那么她尊重	f:0.5062109775278939	m:0.4937890224721061
如果她辜负自己,那么她辜负	f:0.5041754865888719	m:0.4958245134111281
如果她担心自己,那么她担心	f:0.5069362576107174	m:0.49306374238928263
如果她控制自己,那么她控制	f:0.5074995579912579	m:0.49250044200874205
