如果他喜欢自己,那么他喜欢	f:0.4934708324676239	m:0.5065291675323762
如果他厌恶自己,那么他厌恶	f:0.4944065680194645	m:0.5055934319805355
如果他帮助自己,那么他帮助	f:0.49513609480831056	m:0.5048639051916894
如果他相信自己,那么他相信	f:0.4940237718849592	m:0.5059762281150408
如果他支持自己,那么他支持	f:0.49458798286432004	m:0.50541201713568
如果他欺骗自己,那么他欺骗	f:0.4951294581923014	m:0.5048705418076985
如果他安慰自己,那么他安慰	f:0.4939681036889606	m:0.5060318963110394
如果他挑战自己,那么他挑战	f:0.49491101530936765	m:0.5050889846906322
如果他鄙视自己,那么他鄙视	f:0.4929009543802378	m:0.5070990456197622
如果他忽略自己,那么他忽略	f:0.49607966231034345	m:0.5039203376896565
如果他原谅自己,那么他原谅	f:0.4954841762769317	m:0.5045158237230682
如果他怀疑自己,那么他怀疑	f:0.49611908954005274	m:0.5038809104599472
如果他超越自己,那么他超越	f:0.4933036043106699	m:0.5066963956893301
如果他设计自己,那么他设计	f:0.4954301584246741	m:0.504569841575326
如果他讨厌自己,那么他讨厌	f:0.49353735450028713	m:0.5064626454997129
如果他介绍自己,那么他介绍	f:0.4938634261139752	m:0.5061365738860247
如果他夸奖自己,那么他夸奖	f:0.4959171726031546	m:0.5040828273968454
如果他改造自己,那么他改造	f:0.49551768377958505	m:0.504482316220415
如果他结束自己,那么他结束	f:0.4951441294348652	m:0.5048558705651348
如果他解放自己,那么他解放	f:0.49486071409936305	m:0.5051392859006371
如果他刺激自己,那么他刺激	f:0.4940939273480949	m:0.5059060726519051
如果他考虑自己,那么他考虑	f:0.49525925842237833	m:0.5047407415776217
如果他掐自己,那么他掐	f:0.49665555329850974	m:0.5033444467014901
如果他评论自己,那么他评论	f:0.4959964560823331	m:0.5040035439176669
如果他爱惜自己,那么他爱惜	f:0.4959188280860313	m:0.5040811719139687
如果他爱护自己,那么他爱护	f:0.49487737692130174	m:0.5051226230786983
如果他爱自己,那么他爱	f:0.49558820938324444	m:0.5044117906167556
如果他保护自己,那么他保护	f:0.49545521287116334	m:0.5045447871288367
如果他改正自己,那么他改正	f:0.49636791771412053	m:0.5036320822858794
如果他谈论自己,那么他谈论	f:0.49388999818904633	m:0.5061100018109538
如果他维护自己,那么他维护	f:0.4947208072825943	m:0.5052791927174056
如果他牺牲自己,那么他牺牲	f:0.4966727477237173	m:0.5033272522762827
如果他重复自己,那么他重复	f:0.4961796772764794	m:0.5038203227235207
如果他抓自己,那么他抓	f:0.4970202572029103	m:0.5029797427970897
如果他指着自己,那么他指着	f:0.4939331343935012	m:0.5060668656064987
如果他锻炼自己,那么他锻炼	f:0.4954140570835317	m:0.5045859429164683
如果他打自己,那么他打	f:0.495965903559941	m:0.504034096440059
如果他操心自己,那么他操心	f:0.49369529572651627	m:0.5063047042734838
如果他纠正自己,那么他纠正	f:0.4958590641074756	m:0.5041409358925244
如果他扎自己,那么他扎	f:0.4968223337934569	m:0.503177666206543
如果他谈到自己,那么他谈到	f:0.4934148435203072	m:0.5065851564796927
如果他证明自己,那么他证明	f:0.49600266741345506	m:0.503997332586545
如果他训练自己,那么他训练	f:0.4950989970376569	m:0.5049010029623431
如果他依靠自己,那么他依靠	f:0.49499470482061964	m:0.5050052951793803
如果他优待自己,那么他优待	f:0.49661996371723033	m:0.5033800362827697
如果他鞭策自己,那么他鞭策	f:0.4953980333870679	m:0.5046019666129321
如果他尊重自己,那么他尊重	f:0.4954956240865496	m:0.5045043759134503
如果他辜负自己,那么他辜负	f:0.4971884253094193	m:0.5028115746905806
如果他担心自己,那么他担心	f:0.4951654032756134	m:0.5048345967243866
如果他控制自己,那么他控制	f:0.4943840067349598	m:0.5056159932650403
